1984;Arabia Saudyjska;Australia;Austria;Belgia;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt ;Liban;Libia;Luksemburg;Norwegia;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W.Brytania;Włochy;ECU;;;Iran (source: https://www.nbp.pl/kursy/Archiwum/archiwum_tab_a_1989.xls, 2020.02.22)
;1 rial;1 dolar;100 szylingów;100 franków;1 korona;1 marka;1 frank;100 drachm;100 peset;1 floren;1 rupia;100 rial;1 funt;100 yenów;100 dinar;1 dolar;1 dinar;1funt;1 dinar;100 franków;1 korona;100 escudo;1 marka;1 dolar;1 frank;1 korona;100 funtów;1 funt;100 lirów;;nr. tabeli;;100 rial
02.01.1984;28,03;88,04;506,18;174,95;9,86;16,76;11,66;98,89;62,30;31,75;9,3386;111,88;110,56;42,00;69,56;78,87;335,21;18,01;330,73;174,95;12,66;74,36;35,69;98,15;44,88;12,18;29,17;140,84;5,88;;1/84;;111,88
09.01.1984;28,16;88,49;503,68;174,02;9,80;16,72;11,61;98,06;61,82;31,61;9,2793;110,04;109,98;42,16;68,56;78,96;336,02;18,10;332,07;174,02;12,61;73,82;35,49;98,55;44,23;12,12;29,19;140,08;5,85;;2/84;;110,04
16.01.1984;28,29;90,20;497,18;171,60;9,68;16,63;11,45;96,30;61,64;31,17;9,2750;110,92;108,47;42,42;67,84;79,28;337,59;18,24;334,73;171,60;12,50;72,91;34,97;99,34;44,05;12,09;29,51;138,62;5,78;;3/84;;110,92
23.01.1984;28,09;89,08;502,03;173,50;9,77;16,73;11,57;97,05;62,13;31,49;5,2408;111,52;109,35;42,24;68,86;79,18;335,37;16,97;332,25;173,50;12,63;73,31;35,41;98,60;44,42;12,13;29,32;140,53;5,83;;4/84;;111,52
30.01.1984;28,25;89,81;497,53;171,81;9,68;16,65;11,47;95,88;62,09;31,18;9,2435;110,89;108,71;42,32;67,50;79,51;336,42;16,93;334,22;171,81;12,57;73,20;35,07;99,18;44,12;12,13;29,12;138,66;5,78;;5/84;;110,89
06.02.1984;28,21;90,88;499,34;172,21;9,70;16,66;11,50;95,76;62,39;31,26;9,2110;110,71;108,72;42,18;68,40;79,29;336,34;16,99;333,66;172,21;12,59;72,54;35,19;99,02;44,13;12,12;28,68;139,19;5,78;;6/84;;110,71
13.02.1984;28,07;90,79;505,37;173,88;9,81;16,74;11,61;96,17;62,83;31,53;9,1648;110,15;110,05;42,16;68,83;79,09;335,36;16,56;331,99;173,88;12,60;72,18;35,59;98,52;44,12;12,11;26,91;139,16;5,80;;7/84;;110,15
20.02.1984;28,00;91,85;508,96;175,06;9,85;16,76;11,65;96,21;62,94;31,79;9,1508;109,88;110,43;41,91;70,21;78,78;334,60;16,44;331,18;175,06;12,65;72,40;35,85;98,28;43,88;12,12;26,33;138,42;5,82;;8/84;;109,88
01.03.1984;31,35;103,62;581,70;200,73;11,26;19,11;13,33;108,43;71,71;36,43;10,2612;122,99;126,34;47,14;78,09;88,18;375,62;18,03;370,67;200,73;14,37;82,71;41,09;110,00;50,06;13,84;30,03;159,69;6,64;;9/84;;122,99
05.03.1984;31,09;102,84;593,66;204,57;11,42;19,37;13,58;108,24;72,91;37,11;10,1961;125,77;128,69;46,79;80,70;87,06;372,93;17,99;367,29;204,57;14,52;82,57;41,87;109,00;50,44;14,01;29,76;162,08;6,73;;10/84;;125,77
12.03.1984;30,90;103,56;600,79;207,35;11,56;19,51;13,76;107,90;73,43;37,57;10,1672;125,06;130,17;48,57;81,83;86,43;372,35;20,47;365,22;207,35;14,62;83,37;42,43;108,38;51,46;14,11;29,46;160,95;6,80;;11/84;;125,06
19.03.1984;30,87;104,63;603,00;207,46;11,60;19,29;13,76;106,65;72,31;37,63;10,14;125,03;127,75;48,35;82,40;85,58;371,09;19,86;365,14;207,46;14,62;83,03;42,46;108,36;51,27;14,18;30,33;159,88;6,84;;12/84;;125,03
26.03.1984;31,06;104,78;593,15;203,95;11,40;19,31;13,53;105,99;72,45;36,96;10,18;124,57;127,70;48,53;83,72;85,75;373,17;20,01;368,57;203,95;14,48;82,71;41,72;109,38;50,74;14,05;30,44;157,63;6,73;;13/84;;124,57
02.04.1984;30,93;103,17;598,61;205,83;11,48;19,60;13,67;106,54;73,28;37,30;10,16;124,01;128,81;48,63;82,12;85,10;372,39;19,66;366,92;205,83;14,56;82,65;42,11;108,89;50,69;14,17;33,46;157,83;6,78;;14/84;;
09.04.1984;31,05;102,84;593,92;204,38;11,35;19,50;13,58;105,39;72,91;37,07;10,15;127,01;127,87;48,55;81,96;85,61;372,67;19,72;368,45;204,38;14,48;83,15;41,81;109,34;50,54;14,09;33,86;156,14;6,74;;15/84;;
16.04.1984;31,10;100,40;592,78;203,92;11,34;19,47;13,55;105,07;72,94;36,97;10,15;127,18;127,61;48,59;83,97;85,56;372,28;19,73;368,94;203,92;14,46;82,32;41,69;109,49;50,28;14,02;34,69;156,35;6,74;;16/84;;
24.04.1984;31,14;101,05;591,30;203,54;11,33;19,46;13,51;104,86;73,21;36,87;10,14;126,31;127,50;48,82;84,75;85,68;372,41;18,95;369,41;203,54;14,46;81,81;41,61;109,63;50,15;14,01;31,59;155,87;6,73;;17/84;;
02.05.1984;31,31;101,32;583,75;201,39;11,18;19,32;13,37;104,10;72,86;36,41;10,14;127,01;126,01;48,90;81,43;86,16;373,89;19,69;371,48;201,39;14,39;81,36;41,07;110,24;49,73;13,91;32,07;155,35;6,65;;18/84;;
07.05.1984;31,49;102,73;568,61;199,35;11,09;19,27;13,24;103,05;72,88;36,02;10,14;127,75;124,46;48,87;78,00;85,67;376,18;19,41;373,63;199,35;14,28;80,64;40,62;110,88;49,37;13,82;30,86;154,90;6,58;;19/84;;
14.05.1984;31,64;101,97;570,16;197,67;10,98;19,07;13,06;102,42;71,62;35,66;10,15;128,13;123,08;48,67;76,13;86,01;377,82;19,65;375,51;197,67;14,22;80,17;40,06;111,44;48,80;13,72;30,50;154,79;6,49;;20/84;;
21.05.1984;31,57;99,95;574,29;198,12;11,03;19,08;13,12;102,60;72,15;35,85;10,08;127,84;123,91;48,12;75,60;85,90;376,96;18,99;374,66;198,12;14,15;79,56;40,34;111,18;48,78;13,70;30,24;154,13;6,55;;21/84;;
28.05.1984;81,54;100,17;575,57;198,98;11,03;19,11;13,15;102,66;72,33;35,94;10,07;126,64;124,46;47,63;75,37;85,82;375,99;19,13;374,13;198,98;14,22;79,31;40,43;111,03;48,94;13,75;30,35;154,63;6,56;;22/84;;
04.06.1984;81,53;99,64;576,54;198,79;11,05;19,09;13,18;102,59;72,21;35,95;10,03;124,95;124,33;47,85;80,27;85,68;375,10;18,84;373,89;198,79;14,22;79,68;40,54;110,96;49,17;13,74;30,49;153,45;6,56;;23/84;;
11.06.1984;31,28;99,11;587,62;202,02;11,23;19,29;13,41;103,23;73,03;36,58;10,03;123,94;126,19;48,09;81,71;84,87;372,75;18,39;370,87;202,02;14,35;79,75;41,23;110,06;49,52;13,82;30,70;154,17;6,65;;24/84;;
18.06.1984;31,54;99,13;580,97;199,70;11,10;19,13;13,25;102,67;72,05;36,13;10,06;124,84;124,46;47,74;81,62;85,08;373,09;18,27;373,14;199,70;14,26;79,38;40,75;110,73;48,87;13,73;30,30;153,31;6,57;;25/84;;
25.06.1984;31,69;98,36;575,02;198,13;11,01;19,05;13,14;101,79;71,52;35,83;10,06;125,37;123,50;47,71;82,13;85,51;374,19;18,43;374,74;198,13;14,22;78,87;40,36;111,21;48,60;13,69;30,13;153,25;6,53;;26/84;;
02.07.1984;31,77;96,64;572,57;197,50;10,97;18,94;13,09;101,52;71,11;35,68;10,01;126,31;114,08;47,11;81,38;84,93;375,01;18,59;375,94;197,50;14,01;77,75;40,20;111,57;48,15;13,61;30,09;151,15;6,53;;27/84;;
09.07.1984;31,89;96,13;568,46;196,16;10,88;18,86;13,00;101,17;70,27;35,38;9,98;126,85;122,02;46,76;79,17;85,04;376,62;18,83;377,56;196,16;13,90;77,27;39,90;112,04;47,55;13,62;29,72;150,08;6,49;;28/84;;
16.07.1984;32,03;93,36;566,86;195,73;10,87;18,77;12,96;101,00;70,02;35,22;9,97;127,26;121,76;46,55;79,01;84,64;377,84;19,42;378,79;195,73;13,78;75,44;39,76;112,41;47,17;13,60;30,19;147,14;6,48;;29/84;;
23.07.1984;32,06;93,92;564,96;195,52;10,84;18,75;12,91;100,75;69,84;35,10;9,92;127,41;121,32;46,53;77,49;84,68;378,29;18,80;379,23;195,52;13,70;75,03;39,61;112,54;46,82;13,57;30,44;149,06;6,44;;30/84;;
30.07.1984;32,20;92,98;560,44;194,23;10,75;18,66;12,79;100,39;69,46;34,80;9,87;126,14;120,84;45,82;75,16;85,57;379,33;18,66;380,91;194,23;13,62;74,86;39,26;113,04;46,11;13,54;30,20;149,14;6,40;;31/84;;
06.08.1984;32,27;93,99;557,65;193,57;10,71;18,60;12,75;99,49;69,22;34,62;9,82;124,86;120,28;46,19;73,61;86,26;380,89;18,81;381,84;193,57;13,60;75,04;39,12;113,31;46,01;13,50;30,13;147,99;6,36;;32/84;;
13.08.1984;32,28;95,17;556,88;193,16;10,70;18,62;12,73;99,02;68,87;34,59;9,82;124,87;120,35;46,47;72,65;86,57;381,57;18,46;381,87;193,16;13,58;75,55;39,04;113,33;46,35;13,49;30,36;148,74;6,36;;33/84;;
20.08.1984;32,08;95,18;556,88;193,51;10,75;18,64;12,75;98,09;68,72;34,70;9,80;124,78;120,55;46,64;70,63;86,86;381,29;18,19;381,59;193,51;13,64;75,50;39,10;113,24;46,47;13,51;30,44;148,86;6,35;;34/84;;
27.08.1984;32,04;96,59;557,84;194,15;10,75;18,81;12,77;98,01;69,24;34,74;9,78;124,47;121,92;46,78;71,55;86,87;382,75;18,07;381,12;194,15;13,64;75,91;39,19;113,10;46,92;13,52;30,73;148,67;6,33;;35/84;;
01.09.1984;34,85;105,23;610,12;212,22;11,78;20,35;13,95;107,42;74,86;37,99;10,66;134,74;132,04;51,07;74,55;94,80;416,60;18,95;414,48;212,22;14,88;82,00;42,87;123,00;51,40;14,81;33,67;160,52;6,92;;36/84;;
10.09.1984;35,04;103,96;603,31;210,44;11,65;20,24;13,82;106,71;74,53;37,57;10,56;135,48;130,91;50,87;72,75;95,45;417,83;18,85;416,76;210,44;14,79;81,91;42,38;123,68;50,72;14,74;31,19;160,25;6,87;;37/84;;
17.09.1984;35,25;103,90;591,48;206,46;11,46;20,02;13,53;105,54;73,96;36,83;10,59;136,71;128,55;50,93;69,33;94,80;418,80;17,65;420,55;206,46;14,65;80,52;41,60;124,80;50,02;14,62;31,26;159,16;6,76;;38/84;;
24.09.1984;35,40;104,49;581,67;202,71;11,31;19,79;13,31;104,65;72,86;36,25;10,63;138,36;126,61;51,05;63,00;95,66;420,86;18,01;424,74;202,71;14,51;79,78;40,78;126,05;49,61;14,53;31,00;154,85;6,63;92,43;39/84;;
01.10.1984;35,30;104,22;584,66;202,98;11,33;19,82;13,40;101,12;73,48;36,41;10,57;137,92;127,65;51,13;61,05;95,44;420,21;17,77;423,38;202,98;14,25;78,53;41,09;125,64;49,84;14,50;30,65;155,67;6,61;93,67;40/84;;
08.10.1984;35,24;104,34;586,54;203,28;11,39;19,86;13,44;99,92;73,08;36,60;10,53;137,66;127,66;51,00;61,94;95,33;418,57;15,91;422,57;203,28;14,25;78,38;41,26;125,40;49,95;14,57;31,47;155,56;6,66;92,08;41/84;;
15.10.1984;35,34;104,83;583,32;202,55;11,34;19,77;13,37;100,26;73,24;36,32;10,51;141,78;127,27;50,86;61,64;95,36;419,24;16,64;423,98;202,55;14,21;77,43;40,97;125,82;49,71;14,50;31,32;155,01;6,62;92,46;42/84;;
22.10.1984;35,61;105,18;574,54;199,88;11,19;19,59;13,18;99,45;72,44;35,80;10,49;136,44;125,15;50,91;60,73;95,68;421,13;15,77;427,28;199,88;14,08;77,32;40,35;126,80;49,27;14,40;31,53;152,35;6,56;90,46;43/84;;
29.10.1984;35,33;105,23;584,58;203,24;11,38;19,72;13,39;100,24;72,99;36,43;10,44;135,33;127,19;51,30;61,62;95,49;418,30;15,63;423,92;203,24;14,16;77,66;41,09;125,80;49,89;14,49;31,93;151,47;6,63;90,93;44/84;;
05.11.1984;35,30;106,34;585,16;203,78;11,40;19,75;13,43;100,19;73,31;36,48;10,41;135,21;127,11;51,18;61,76;95,37;417,45;16,35;423,55;203,78;14,22;76,64;41,14;125,69;50,01;14,49;31,25;151,96;6,63;91,59;45/84;;
12.11.1984;34,78;106,81;600,58;209,12;11,68;20,11;13,77;102,18;74,99;37,48;10,35;133,22;130,40;51,14;59,51;94,64;412,80;16,74;417,30;209,12;14,46;77,40;42,18;123,84;51,30;14,68;32,06;157,40;6,77;94,11;46/84;;
19.11.1984;34,77;106,93;600,48;208,91;11,69;20,14;13,76;101,86;75,26;37,45;10,39;133,13;131,00;51,58;59,08;94,19;411,84;16,17;417,03;208,91;14,46;77,35;42,25;123,76;51,37;14,66;32,11;157,92;6,78;93,50;47/84;;
