1988;Arabia Saudyjska;Australia;Austria;Belgia;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt ;Liban;Libia;Luksemburg;Norwegia;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W.Brytania;Włochy;;; (source: https://www.nbp.pl/kursy/Archiwum/archiwum_tab_a_1988.xls, 2020.02.22)
;1 rial;1 dolar;1 szyling;100 franków;1 korona;1 marka;1 frank;100 drachm;100 peset;1 gulden;1 rupia;100 riali;1 funt;100 yenów;100 dinarów;1 dolar;1 dinar;100 funtów;1 dinar;100 franków;1 korona;100 escudo;1 marka;1 dolar;1 frank;1 korona;100 funtów;1 funt;100 lirów;1 ECU;1 SDR;nr tabeli
4.01.1988;83,60;224,15;27,79;933,02;50,81;78,77;57,73;246,46;287,61;174,16;24,15;463,75;519,81;253,84;24,89;240,26;1147,92;69,36;1135,85;933,02;49,92;239,49;195,93;313,50;241,15;53,52;30,83;581,84;26,57;403,47;435,65;1/88
11.01.1988;83,67;224,30;27,66;931,01;50,66;79,18;57,70;245,75;285,18;173,36;24,17;464,04;516,89;250,86;25,21;241,87;1156,30;63,70;1149,10;931,01;50,07;236,40;196,06;313,70;239,65;53,51;30,67;582,44;26,45;402,29;444,40;2/88
18.01.1988;84,35;224,09;27,47;922,22;50,32;79,28;57,25;242,58;283,70;171,96;24,28;467,92;513,26;246,97;24,97;246,07;1155,30;68,47;1135,81;922,22;49,85;235,53;193,47;316,32;236,59;53,27;30,04;575,44;26,27;399,04;437,27;3/88
25.01.1988;85,31;226,73;27,01;907,69;49,54;78,13;56,36;238,24;280,42;169,20;24,48;473,30;505,39;246,50;24,90;248,61;1159,28;69,56;1156,35;907,69;49,78;232,02;190,45;319,96;233,21;52,87;29,36;567,11;25,90;392,74;443,90;4/88
1.02.1988;101,35;272,09;32,29;1084,17;59,14;93,41;67,29;284,22;334,86;202,13;29,16;579,61;603,17;298,27;29,64;297,46;1382,32;84,82;1356,17;1084,17;59,53;278,39;228,23;380,00;280,34;63,12;34,28;672,57;30,88;468,56;519,76;5/88
8.02.1988;101,93;272,16;32,16;1082,33;59,17;93,05;67,06;283,44;333,77;201,39;29,20;562,02;601,56;296,49;28,77;299,81;1385,68;94,13;1361,50;1082,33;59,66;276,44;226,14;382,17;277,10;63,09;33,91;672,01;30,72;467,09;518,90;6/88
15.02.1988;102,18;271,81;32,04;1075,94;58,81;92,87;66,67;282,17;336,04;200,37;29,26;563,60;598,83;296,55;28,72;302,60;1386,07;94,40;1357,11;1075,94;59,63;276,12;225,44;383,25;274,63;63,06;33,53;669,08;30,59;464,60;518,67;7/88
22.02.1988;102,46;274,42;31,94;1071,36;58,69;92,60;66,40;281,46;331,77;199,79;29,37;569,59;597,03;294,63;28,42;302,27;1385,47;94,63;1355,41;1071,36;59,43;275,41;224,67;384,19;273,45;63,02;33,23;669,32;30,48;463,38;520,44;8/88
29.02.1988;101,89;274,88;32,19;1082,07;59,17;93,19;66,80;283,02;335,45;201,36;29,32;554,78;601,41;296,88;28,30;301,56;1376,36;94,11;1343,68;1082,07;59,96;276,37;226,08;382,08;274,88;63,54;32,69;675,53;30,69;466,40;519,27;9/88
7.03.1988;101,85;274,79;32,21;1081,41;59,15;93,62;66,78;282,41;335,64;201,45;29,25;554,60;606,28;297,47;28,27;303,14;1364,12;94,08;1352,03;1081,41;60,25;275,78;226,14;381,95;274,79;63,77;32,37;677,22;30,70;465,80;519,88;10/88
14.03.1988;101,38;277,48;32,33;1085,51;59,44;94,19;67,04;284,54;338,72;202,20;29,58;559,28;606,58;297,22;27,99;303,02;1383,35;93,63;1344,69;1085,51;60,24;278,09;226,95;380,14;275,47;63,94;31,94;693,82;30,74;469,95;518,54;11/88
21.03.1988;103,97;285,17;33,28;1120,37;61,24;96,92;68,96;292,03;349,31;208,61;30,19;573,78;626,61;306,97;28,30;310,26;1421,80;106,27;1400,36;1120,37;61,59;285,40;234,23;390,00;283,43;65,82;32,63;722,22;31,65;485,07;538,15;12/88
28.03.1988;106,64;295,60;33,68;1132,34;61,67;98,43;69,60;299,40;353,54;210,69;30,75;594,88;632,51;314,47;28,57;320,72;1455,07;109,59;1432,15;1132,34;62,91;289,33;236,69;400,00;286,53;66,94;32,94;731,80;31,97;490,26;546,82;13/88
5.04.1988;105,85;291,85;33,97;1139,09;62,17;99,05;70,35;299,15;356,83;212,46;30,65;590,38;638,63;318,47;28,38;321,05;1453,05;109,06;1421,32;1139,09;63,36;290,93;239,14;396,97;288,81;67,37;32,59;739,79;32,23;494,49;549,06;14/88
11.04.1988;105,71;293,88;34,01;1142,17;62,42;99,28;70,53;299,14;358,12;212,60;30,29;589,69;639,22;318,48;27,62;319,38;1453,47;109,08;1412,06;1142,17;63,60;292,19;238,86;396,51;290,37;67,49;32,34;748,26;32,24;496,31;551,08;15/88
18.04.1988;106,40;296,72;33,71;1132,30;61,89;98,88;69,90;296,74;357,14;211,20;30,20;593,34;633,48;315,51;27,25;322,14;1453,42;109,91;1442,39;1132,30;63,47;289,84;237,48;398,96;286,10;67,25;31,99;738,28;31,94;491,40;547,88;16/88
25.04.1988;105,77;296,61;33,98;1140,23;62,00;99,64;70,22;297,48;359,32;212,76;30,19;589,95;636,53;319,01;26,83;321,20;1453,59;105,78;1432,59;1140,23;64,46;291,89;238,97;396,68;288,46;67,78;31,72;750,87;32,12;495,24;550,49;17/88
2.05.1988;106,05;300,77;33,84;1137,38;61,78;99,70;70,01;296,27;360,21;212,07;30,09;589,33;634,66;319,86;26,53;323,10;1453,73;107,79;1433,30;1137,38;64,44;291,39;238,17;397,74;287,38;67,78;31,48;747,21;31,99;493,60;549,67;18/88
9.05.1988;109,32;313,12;34,73;1167,59;63,39;102,30;71,87;304,49;370,20;217,78;30,85;609,40;651,41;328,39;27,34;332,66;1492,54;112,18;1475,88;1167,59;66,46;298,51;244,05;410,00;293,38;69,75;32,14;766,36;32,83;506,30;565,60;19/88
16.05.1988;109,26;317,59;34,71;1167,16;63,35;102,50;72,00;304,68;368,35;217,59;30,93;609,09;651,91;329,10;27,13;331,28;1496,13;110,16;1471,95;1167,16;66,57;298,57;243,92;409,79;293,23;69,79;31,86;772,32;32,83;506,79;565,70;20/88
23.05.1988;109,45;316,31;34,63;1164,05;63,50;102,39;71,75;303,51;367,67;217,06;30,93;613,88;650,14;328,80;27,05;332,66;1499,27;109,32;1474,50;1164,05;66,65;298,55;243,33;410,50;292,69;69,75;31,70;773,80;32,72;506,17;566,29;21/88
30.05.1988;111,99;330,60;35,16;1185,44;64,88;104,41;73,08;309,39;373,96;220,76;31,48;628,08;661,00;337,87;27,37;338,16;1530,05;113,82;1511,34;1185,44;67,97;303,25;247,50;420,00;296,57;71,10;32,18;785,34;33,29;514,64;576,76;22/88
6.06.1988;114,68;347,03;35,67;1202,12;65,86;105,96;74,52;314,67;378,35;223,84;32,14;643,52;670,62;344,41;22,36;346,91;1565,91;117,81;1534,62;1202,12;69,22;307,58;250,00;430,00;299,44;72,41;32,65;797,92;33,79;524,26;589,69;23/88
13.06.1988;114,61;342,12;35,71;1200,56;65,90;105,56;74,30;313,20;380,19;223,56;31,63;643,22;671,77;341,93;22,35;349,01;1559,51;119,72;1520,88;1200,56;68,71;306,34;251,35;429,80;301,62;71,78;32,32;778,63;33,78;520,97;584,29;24/88
20.06.1988;114,89;346,02;35,53;1194,99;65,73;105,20;74,03;312,85;378,06;222,63;31,56;640,21;668,73;344,36;21,16;353,69;1561,98;121,35;1530,90;1194,99;68,33;305,96;250,46;430,79;298,85;71,64;32,13;781,70;33,62;518,90;586,91;25/88
27.06.1988;117,36;361,99;35,58;1195,98;65,83;105,72;74,22;312,83;378,98;222,50;31,79;653,89;672,58;348,05;20,50;364,69;1586,73;124,12;1563,61;1195,98;69,10;306,94;250,71;440,00;301,16;72,19;32,40;785,85;33,73;520,22;593,63;26/88
4.07.1988;118,60;362,78;35,15;1179,21;65,09;103,95;73,19;309,86;373,94;219,22;31,66;661,02;663,98;341,57;19,51;368,82;1585,17;126,01;1537,50;1179,21;67,95;303,20;247,11;444,80;298,82;71,65;32,13;766,10;33,28;512,26;584,42;27/88
11.07.1988;119,97;358,65;35,09;1179,55;65,19;103,51;73,39;309,28;370,68;219,27;31,89;666,57;663,42;336,95;18,81;369,76;1594,61;127,66;1533,22;1179,55;67,50;302,22;247,25;450,00;296,93;71,47;32,21;764,40;33,28;512,65;588,47;28/88
18.07.1988;120,42;358,75;34,93;1172,79;64,44;103,37;72,93;307,58;370,95;217,86;32,11;668,82;659,83;340,00;18,43;373,93;1602,28;128,27;1538,41;1172,79;67,43;301,62;246,06;451,52;295,69;71,39;31,95;764,91;33,12;509,91;589,23;29/88
25.07.1988;121,70;361,77;34,41;1156,23;63,47;102,21;71,72;303,01;364,89;214,41;32,37;656,05;650,16;337,38;17,82;377,72;1606,76;129,87;1554,24;1156,23;66,60;297,09;242,16;456,48;291,35;70,64;31,88;758,78;32,65;502,68;593,06;30/88
1.08.1988;120,65;364,36;34,84;1168,62;64,54;103,16;72,50;308,11;369,93;216,46;32,09;650,49;658,05;342,57;16,89;372,82;1600,45;128,95;1541,06;1168,62;67,51;301,94;243,99;452,61;293,62;71,33;31,65;779,28;33,06;509,18;593,97;31/88
8.08.1988;121,01;364,87;34,69;1162,84;64,10;102,73;72,10;302,98;369,74;215,63;32,07;640,14;654,44;342,40;16,72;375,55;1607,14;129,49;1535,90;1162,84;67,04;299,77;243,36;453,86;291,87;70,74;31,40;779,96;32,97;507,44;588,97;32/88
15.08.1988;121,83;365,53;34,29;1151,20;63,15;102,22;71,43;300,90;367,88;213,51;32,27;644,44;648,65;341,74;16,45;377,77;1610,54;130,55;1548,85;1151,20;66,48;297,66;241,11;456,91;288,45;70,46;30,87;779,31;32,66;502,54;588,65;33/88
22.08.1988;122,67;368,00;34,65;1162,64;63,54;102,98;71,91;303,93;371,33;215,81;32,49;654,62;653,41;344,44;16,56;374,44;1621,43;131,05;1536,28;1162,64;66,57;300,65;244,03;460,00;290,50;70,99;30,56;786,59;32,88;507,78;595,62;34/88
29.08.1988;123,24;375,93;34,50;1156,40;63,33;102,96;71,48;302,62;370,27;214,73;32,25;657,60;650,11;345,11;15,87;375,84;1621,97;126,60;1543,29;1156,40;66,35;298,51;242,57;462,10;288,13;70,81;30,11;778,21;32,76;504,64;593,80;35/88
5.09.1988;125,32;377,09;35,73;1197,91;65,31;105,78;74,00;310,74;377,66;222,49;92,80;659,93;672,49;349,57;15,79;379,19;1648,54;115,34;1580,36;1197,91;68,07;305,89;251,34;470,00;297,66;72,73;30,62;792,05;33,85;521,47;608,41;36/88
12.09.1988;124,79;375,75;35,89;1204,73;65,69;106,57;74,21;310,99;379,90;223,94;32,53;657,17;675,87;344,91;15,31;379,44;1638,22;116,72;1568,50;1204,73;68,08;306,91;252,99;468,04;299,99;72,82;30,34;794,09;33,85;523,30;601,98;37/88
19.09.1988;124,69;372,96;36,02;1208,42;65,89;106,75;74,49;312,81;379,28;224,57;32,43;657,56;679,64;351,23;15,22;378,30;1640,33;117,80;1586,90;1208,42;68,25;306,66;252,79;467,66;300,51;73,08;29,87;794,53;33,91;524,99;608,53;38/88
26.09.1988;127,98;377,30;36,54;1225,90;66,97;108,82;75,56;317,36;386,39;227,76;33,08;674,92;689,95;358,48;15,01;393,77;1673,64;117,79;1628,78;1225,90;69,60;312,50;256,68;480,00;304,18;74,83;29,98;806,05;34,48;532,50;620,88;39/88
3.10.1988;128,43;377,33;36,37;1221,80;66,79;108,28;75,21;315,97;385,97;227,00;32,99;677,30;686,27;358,00;14,68;395,15;1669,65;115,65;1622,96;1221,80;69,38;311,27;255,54;481,69;302,42;74,51;29,52;803,76;34,33;530,38;619,46;40/88
10.10.1988;127,71;376,98;36,63;1229,43;67,05;109,21;75,64;316,68;389,74;228,50;32,92;676,53;688,89;359,60;14,13;395,69;1659,11;114,32;1610,03;1229,43;69,65;312,35;257,52;478,98;303,77;75,11;28,67;812,66;34,56;533,93;620,29;41/88
