data;Australia;Austria;Belgia;CHRL;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt;Liban;Libia;Luksemburg;1korona;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W. Brytania;Włochy;ECU;SDR;;;Tabela Kursów ; (source: https://www.nbp.pl/kursy/Archiwum/archiwum_tab_a_1991.xls, 2020.02.22)
;1dolar;1szyling;1frank;1CHF cl.;1korona;1marka;1frank;100drachm;100peset;1gulden;1rupia;1rial;1dolar cl.;1funt;100yenów;1nowy dinar;1dolar;1dinar;100funtów;1dinar;1frank;1korona;100escudo;1marka;1dolar;1frank;1korona;100funtów;1funt;100lirów;1ECU;1SDR;;;Nr;
2.01.1991;7325,00;904,00;308,00;7462,00;1646,00;2624,00;1869,00;6028,00;9964,00;5636,00;419,00;149,00;7980,00;16 907,00;7007,00;707,00;8197,00;33016,00;1128,00;35264,00;308,00;1617,00;7096,00;6359,00;9500,00;7462,00;1687,00;324,00;18350,00;843,00;13024,00;13428,00;;;1;/91
3.01.1991;7353,00;904,00;308,00;7509,00;1651,00;2630,00;1869,00;6055,00;9966,00;5637,00;420,00;149,00;7980,00;16 910,00;7062,00;707,00;8190,00;33016,00;1095,00;35264,00;308,00;1620,00;7148,00;6360,00;9500,00;7509,00;1692,00;324,00;18386,00;844,00;13058,00;13428,00;;;2;/91
4.01.1991;7358,00;905,00;309,00;7515,00;1654,00;2637,00;1872,00;6055,00;10011,00;5646,00;420,00;149,00;7980,00;16 967,00;7142,00;707,00;8215,00;33016,00;1095,00;35264,00;309,00;1626,00;7132,00;6368,00;9500,00;7515,00;1697,00;325,00;18493,00;846,00;13089,00;13546,00;;;3;/91
7.01.1991;7410,00;904,00;309,00;7513,00;1653,00;2634,00;1872,00;6045,00;10030,00;5641,00;419,00;149,00;7980,00;16 989,00;7124,00;707,00;8149,00;33016,00;1101,00;35264,00;309,00;1624,00;7105,00;6360,00;9500,00;7513,00;1695,00;324,00;18504,00;846,00;13096,00;13585,00;;;4;/91
8.01.1991;7356,00;880,00;300,00;7316,00;1609,00;2581,00;1826,00;5904,00;9781,00;5491,00;419,00;149,00;7980,00;16 565,00;6946,00;705,00;8215,00;33016,00;1089,00;35264,00;300,00;1583,00;6921,00;6191,00;9500,00;7316,00;1661,00;322,00;18057,00;824,00;12726,00;13579,00;;;5;/91
9.01.1991;7375,00;879,00;300,00;7344,00;1604,00;2573,00;1822,00;5892,00;9767,00;5483,00;417,00;149,00;7980,00;16 548,00;6963,00;705,00;8241,00;33016,00;1076,00;35264,00;300,00;1581,00;6914,00;6182,00;9500,00;7344,00;1660,00;319,00;18085,00;823,00;12747,00;13375,00;;;6;/91
10.01.1991;7318,00;883,00;301,00;7387,00;1612,00;2583,00;1829,00;5870,00;9832,00;5510,00;417,00;149,00;7980,00;16 597,00;7006,00;686,00;8252,00;33016,00;1058,00;35264,00;301,00;1587,00;6932,00;6211,00;9500,00;7387,00;1666,00;318,00;18144,00;826,00;12805,00;13369,00;;;7;/91
11.01.1991;7352,00;883,00;302,00;7403,00;1615,00;2586,00;1833,00;5914,00;9859,00;5514,00;417,00;149,00;7980,00;16 608,00;7024,00;683,00;8247,00;33016,00;1024,00;35264,00;302,00;1590,00;6925,00;6216,00;9500,00;7403,00;1667,00;319,00;18140,00;827,00;12825,00;13426,00;;;8;/91
14.01.1991;7368,00;879,00;300,00;7377,00;1608,00;2578,00;1824,00;5877,00;9845,00;5489,00;416,00;147,00;7980,00;16 533,00;7085,00;683,00;8233,00;33016,00;977,00;35264,00;300,00;1583,00;6905,00;6188,00;9500,00;7377,00;1665,00;317,00;18092,00;823,00;12791,00;13420,00;;;9;/91
15.01.1991;7348,00;872,00;298,00;7383,00;1596,00;2556,00;1809,00;5830,00;9773,00;5446,00;414,00;147,00;7980,00;16 433,00;7007,00;691,00;8240,00;33016,00;888,00;35264,00;298,00;1572,00;6863,00;6139,00;9500,00;7383,00;1656,00;316,00;18037,00;817,00;12711,00;13414,00;;;10;/91
16.01.1991;7391,00;876,00;299,00;7379,00;1598,00;2557,00;1814,00;5845,00;9776,00;5465,00;413,00;147,00;7980,00;16 459,00;7013,00;680,00;8272,00;33016,00;950,00;35264,00;299,00;1577,00;6899,00;6160,00;9500,00;7379,00;1658,00;314,00;18099,00;819,00;12735,00;13354,00;;;11;/91
17.01.1991;7463,00;875,00;299,00;7381,00;1597,00;2553,00;1811,00;5819,00;9752,00;5462,00;414,00;147,00;7980,00;16 450,00;6951,00;680,00;8277,00;33016,00;960,00;35264,00;299,00;1576,00;6902,00;6157,00;9500,00;7381,00;1655,00;314,00;18112,00;818,00;12714,00;13373,00;;;12;/91
