data;1 USD;1 AUD;1 HKD;1 CAD;1 EUR;100 HUF;1 CHF;1 CYP;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;1 EEK;1 NOK;1 SKK;1 SEK;1 BGN;1 MTL;1 LTL;1 LVL;1 RON;1 ZAR;1 RUB;1 XDR;;Nr tabeli;;;;;;;;;;;;;; (source: https://www.nbp.pl/kursy/Archiwum/archiwum_tab_a_2007.xls, 2020.02.22)
29.12.2006;2,9105;2,2970;0,3742;2,5077;3,8312;1,5186;2,3842;6,6284;5,7063;0,5760;2,4463;0,1393;0,5139;0,2449;0,4635;0,1109;0,4234;;8,9253;1,1096;5,4955;;0,4167;0,1105;4,3717;;252;/A/NBP/2006;;;;;;;;;;;;;1,5987
2.01.2007;2,8830;2,2903;0,3706;2,4757;3,8279;1,5236;2,3764;6,6204;5,6836;0,5741;2,4276;0,1391;0,5133;0,2446;0,4673;0,1112;0,4247;;8,9156;1,1086;5,4821;;0,4155;0,1104;4,3726;;1;/A/NBP/2007;;;;;;;;;;;;;end
3.01.2007;2,8870;2,2978;0,3708;2,4720;3,8270;1,5238;2,3716;6,6205;5,6886;0,5715;2,4241;0,1394;0,5132;0,2446;0,4653;0,1114;0,4248;;8,9156;1,1084;5,4808;;0,4188;0,1103;4,3715;;2;/A/NBP/2007;;;;;;;;;;;;;
4.01.2007;2,9325;2,3010;0,3764;2,4997;3,8455;1,5257;2,3820;6,6520;5,6975;0,5834;2,4565;0,1394;0,5159;0,2458;0,4655;0,1118;0,4250;;8,9576;1,1137;5,5113;;0,4166;0,1109;4,3748;;3;/A/NBP/2007;;;;;;;;;;;;;
5.01.2007;2,9733;2,3314;0,3817;2,5256;3,8935;1,5278;2,4201;6,7350;5,7711;0,5878;2,5147;0,1408;0,5223;0,2488;0,4696;0,1127;0,4280;;9,0694;1,1276;5,5785;;0,4152;0,1127;4,4533;;4;/A/NBP/2007;;;;;;;;;;;;;
8.01.2007;2,9788;2,3210;0,3822;2,5384;3,8754;1,5248;2,4096;6,7043;5,7567;0,5893;2,5165;0,1402;0,5199;0,2477;0,4685;0,1124;0,4273;;9,0273;1,1224;5,5533;;0,4100;0,1129;4,4414;;5;/A/NBP/2007;;;;;;;;;;;;;
9.01.2007;2,9647;2,3217;0,3803;2,5237;3,8635;1,5250;2,3968;6,6785;5,7587;0,5872;2,4886;0,1401;0,5184;0,2469;0,4690;0,1125;0,4246;;9,0006;1,1189;5,5363;;0,4129;0,1121;4,4416;;6;/A/NBP/2007;;;;;;;;;;;;;
10.01.2007;2,9943;2,3348;0,3840;2,5443;3,8898;1,5262;2,4103;6,7263;5,8026;0,5928;2,5108;0,1402;0,5219;0,2486;0,4689;0,1128;0,4262;;9,0608;1,1265;5,5732;;0,4076;0,1130;4,4694;;7;/A/NBP/2007;;;;;;;;;;;;;
11.01.2007;2,9889;2,3386;0,3835;2,5533;3,8771;1,5191;2,3981;6,7031;5,7993;0,5919;2,4859;0,1398;0,5201;0,2478;0,4656;0,1123;0,4250;;9,0354;1,1229;5,5550;;0,4101;0,1127;4,4607;;8;/A/NBP/2007;;;;;;;;;;;;;
12.01.2007;3,0045;2,3465;0,3853;2,5564;3,8785;1,5260;2,4054;6,7079;5,8552;0,5934;2,4956;0,1398;0,5204;0,2479;0,4648;0,1116;0,4251;;9,0355;1,1233;5,5578;;0,4123;0,1130;4,4545;;9;/A/NBP/2007;;;;;;;;;;;;;
15.01.2007;2,9918;2,3493;0,3837;2,5609;3,8728;1,5362;2,4016;6,6957;5,8804;0,5911;2,4833;0,1393;0,5197;0,2475;0,4658;0,1110;0,4264;;9,0212;1,1216;5,5520;;0,4149;0,1127;4,4750;;10;/A/NBP/2007;;;;;;;;;;;;;
16.01.2007;2,9895;2,3420;0,3831;2,5608;3,8770;1,5338;2,4029;6,7024;5,8769;0,5903;2,4819;0,1396;0,5203;0,2478;0,4666;0,1113;0,4274;;9,0278;1,1229;5,5580;;0,4129;0,1126;4,4798;;11;/A/NBP/2007;;;;;;;;;;;;;
17.01.2007;3,0113;2,3629;0,3859;2,5638;3,8914;1,5310;2,4110;6,7290;5,9153;0,5952;2,4959;0,1396;0,5222;0,2487;0,4676;0,1110;0,4296;;9,0645;1,1270;5,5795;;0,4147;0,1133;4,4897;;12;/A/NBP/2007;;;;;;;;;;;;;
18.01.2007;2,9955;2,3620;0,3835;2,5471;3,8787;1,5377;2,3958;6,7059;5,9063;0,5915;2,4681;0,1393;0,5204;0,2479;0,4648;0,1114;0,4265;;9,0349;1,1233;5,5605;;0,4185;0,1130;4,4823;;13;/A/NBP/2007;;;;;;;;;;;;;
19.01.2007;2,9677;2,3398;0,3800;2,5289;3,8490;1,5295;2,3775;6,6540;5,8531;0,5862;2,4466;0,1386;0,5163;0,2460;0,4602;0,1113;0,4224;;8,9668;1,1147;5,5179;;0,4146;0,1119;4,4441;;14;/A/NBP/2007;;;;;;;;;;;;;
22.01.2007;2,9630;2,3387;0,3795;2,5241;3,8395;1,5256;2,3721;6,6370;5,8449;0,5852;2,4371;0,1382;0,5152;0,2454;0,4600;0,1115;0,4211;;8,9447;1,1120;5,5035;;0,4159;0,1117;4,4245;;15;/A/NBP/2007;;;;;;;;;;;;;
23.01.2007;2,9747;2,3545;0,3814;2,5173;3,8630;1,5276;2,3869;6,6776;5,8973;0,5895;2,4481;0,1383;0,5182;0,2469;0,4612;0,1111;0,4246;;8,9994;1,1188;5,5380;;0,4184;0,1122;4,4571;;16;/A/NBP/2007;;;;;;;;;;;;;
24.01.2007;2,9845;2,3346;0,3824;2,5292;3,8825;1,5311;2,3985;6,7119;5,8951;0,5897;2,4564;0,1385;0,5209;0,2481;0,4664;0,1110;0,4276;;9,0438;1,1244;5,5667;;0,4185;0,1127;4,4574;;17;/A/NBP/2007;;;;;;;;;;;;;
25.01.2007;2,9912;2,3282;0,3830;2,5339;3,8785;1,5306;2,3998;6,7073;5,8850;0,5912;2,4796;0,1383;0,5202;0,2479;0,4724;0,1109;0,4275;;9,0334;1,1233;5,5618;;0,4187;0,1128;4,4586;;18;/A/NBP/2007;;;;;;;;;;;;;
26.01.2007;3,0334;2,3493;0,3885;2,5641;3,9208;1,5296;2,4253;6,7810;5,9546;0,5995;2,4984;0,1392;0,5260;0,2506;0,4786;0,1111;0,4311;;9,1319;1,1355;5,6224;;0,4169;0,1142;4,5163;;19;/A/NBP/2007;;;;;;;;;;;;;
29.01.2007;3,0376;2,3512;0,3889;2,5736;3,9240;1,5322;2,4204;6,7842;5,9477;0,6010;2,4930;0,1392;0,5264;0,2508;0,4799;0,1114;0,4326;;9,1405;1,1365;5,6359;;0,4152;0,1143;4,5298;;20;/A/NBP/2007;;;;;;;;;;;;;
30.01.2007;3,0395;2,3466;0,3892;2,5686;3,9385;1,5240;2,4257;6,8093;5,9706;0,6018;2,4953;0,1391;0,5283;0,2517;0,4829;0,1115;0,4361;;9,1764;1,1407;5,6551;;0,4150;0,1145;4,5400;;21;/A/NBP/2007;;;;;;;;;;;;;
31.01.2007;3,0400;2,3431;0,3894;2,5780;3,9320;1,5239;2,4194;6,7940;5,9382;0,6015;2,5028;0,1389;0,5274;0,2513;0,4820;0,1117;0,4347;;9,1826;1,1388;5,6474;;0,4161;0,1145;4,5214;;22;/A/NBP/2007;;;;;;;;;;;;;
1.02.2007;2,9973;2,3266;0,3842;2,5436;3,9010;1,5288;2,4082;6,7451;5,8919;0,5931;2,4873;0,1388;0,5232;0,2493;0,4802;0,1118;0,4318;;9,0816;1,1298;5,6013;;0,4167;0,1132;4,4875;;23;/A/NBP/2007;;;;;;;;;;;;;
2.02.2007;3,0006;2,3179;0,3844;2,5383;3,9068;1,5282;2,4143;6,7440;5,9037;0,5930;2,4812;0,1385;0,5241;0,2497;0,4802;0,1120;0,4312;;9,1015;1,1315;5,6112;;0,4172;0,1133;4,4893;;24;/A/NBP/2007;;;;;;;;;;;;;
5.02.2007;3,0016;2,3242;0,3844;2,5322;3,8842;1,5247;2,4020;6,7090;5,8803;0,5935;2,4851;0,1379;0,5210;0,2482;0,4781;0,1116;0,4280;;9,0467;1,1249;5,5771;;0,4149;0,1131;4,4626;;25;/A/NBP/2007;;;;;;;;;;;;;
