data;1 THB;1 USD;1 AUD;1 HKD;1 CAD;1 NZD;1 SGD;1 EUR;100 HUF;1 CHF;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;1 EEK;100 ISK;1 NOK;1 SEK;1 HRK;1 RON;1 BGN;1 TRY;1 LTL;1 LVL;1 PHP;1 MXN;1 ZAR;1 BRL;1 MYR;1 RUB;10000 IDR;100 KRW;1 CNY;1 XDR;;Nr tabeli; (source: https://www.nbp.pl/kursy/Archiwum/archiwum_tab_a_2009.xls, 2020.02.22)
31.12.2008;0,0853;2,9618;2,0495;0,3820;2,4307;1,7160;2,0613;4,1724;1,5757;2,8014;4,2913;0,3730;3,2812;0,1566;0,5599;0,2667;2,4387;0,4238;0,3821;0,5664;1,0409;2,1333;1,9407;1,2084;5,8907;0,0624;0,2145;0,3158;1,2702;0,8576;0,1008;2,6661;0,2351;0,4344;4,5808;;254;/A/NBP/2008
2.01.2009;0,0860;2,9910;2,0813;0,3859;2,4540;1,7362;2,0591;4,1721;1,5740;2,8050;4,3541;0,3730;3,2803;0,1555;0,5599;0,2666;2,4650;0,4289;0,3846;0,5652;1,0380;2,1332;1,9500;1,2083;5,8903;0,0630;0,2185;0,3166;1,2824;0,8625;0,1026;2,7180;0,2262;0,4384;4,6175;;1;/A/NBP/2009
5.01.2009;0,0850;3,0088;2,1357;0,3880;2,4705;1,7548;2,0466;4,1137;1,5462;2,7297;4,3568;0,3678;3,2352;0,1539;0,5523;0,2629;2,4564;0,4363;0,3850;0,5647;1,0223;2,1031;1,9612;1,1914;5,8185;0,0639;0,2191;0,3176;1,2955;0,8589;0,1032;2,6799;0,2288;0,4406;4,5528;;2;/A/NBP/2009
6.01.2009;0,0839;3,0214;2,1476;0,3902;2,5429;1,7710;2,0472;4,0613;1,5187;2,7061;4,4398;0,3687;3,2277;0,1538;0,5449;0,2598;2,4381;0,4311;0,3805;0,5562;0,9985;2,0765;1,9820;1,1762;5,7444;0,0644;0,2248;0,3215;1,3515;0,8613;0,1038;2,7148;0,2304;0,4421;4,5434;;3;/A/NBP/2009
7.01.2009;0,0827;2,8844;2,0804;0,3719;2,4395;1,7219;1,9562;3,9170;1,4826;2,6131;4,2748;0,3479;3,0924;0,1501;0,5256;0,2503;2,3435;0,4139;0,3675;0,5366;0,9637;2,0028;1,8986;1,1344;5,5442;0,0621;0,2157;0,3083;1,3267;0,8237;0,0989;2,6183;0,2230;0,4219;4,4246;;4;/A/NBP/2009
8.01.2009;0,0846;2,9561;2,0758;0,3812;2,4610;1,7403;1,9953;4,0159;1,4861;2,6841;4,4552;0,3546;3,2159;0,1533;0,5389;0,2567;2,3903;0,4239;0,3755;0,5494;0,9775;2,0533;1,9137;1,1631;5,6818;0,0630;0,2199;0,3073;1,3009;0,8350;0,1014;2,6934;0,2218;0,4327;4,4982;;5;/A/NBP/2009
9.01.2009;0,0849;2,9551;2,0789;0,3810;2,4920;1,7462;1,9992;4,0478;1,4677;2,7067;4,4816;0,3574;3,2579;0,1527;0,5431;0,2586;2,3770;0,4251;0,3773;0,5528;0,9638;2,0696;1,8995;1,1723;5,7213;0,0628;0,2158;0,3046;1,2847;0,8349;0,1014;2,6762;0,2198;0,4324;4,5339;;6;/A/NBP/2009
12.01.2009;0,0863;3,0183;2,0776;0,3889;2,5221;1,7589;2,0271;4,0344;1,4473;2,6904;4,5100;0,3562;3,3450;0,1516;0,5413;0,2579;2,3969;0,4283;0,3759;0,5506;0,9493;2,0628;1,9154;1,1684;5,7185;0,0635;0,2209;0,3033;1,3394;0,8446;0,0970;2,7168;0,2220;0,4412;4,5264;;7;/A/NBP/2009
13.01.2009;0,0892;3,1162;2,0877;0,4020;2,5558;1,7331;2,0945;4,1435;1,4701;2,7918;4,5747;0,3659;3,5048;0,1542;0,5560;0,2647;2,4678;0,4390;0,3810;0,5647;0,9600;2,1186;1,9411;1,2000;5,8748;0,0656;0,2258;0,3064;1,3463;0,8712;0,0999;2,7827;0,2302;0,4562;4,7073;;8;/A/NBP/2009
14.01.2009;0,0897;3,1296;2,1026;0,4037;2,5597;1,7155;2,1032;4,1368;1,4941;2,8001;4,5442;0,3653;3,5047;0,1539;0,5552;0,2644;2,4756;0,4408;0,3787;0,5638;0,9696;2,1151;1,9690;1,1981;5,8661;0,0666;0,2271;0,3137;1,3502;0,8768;0,0988;2,8199;0,2324;0,4583;4,7260;;9;/A/NBP/2009
15.01.2009;0,0920;3,2110;2,1143;0,4139;2,5799;1,7129;2,1443;4,2256;1,5043;2,8696;4,6883;0,3773;3,6164;0,1549;0,5671;0,2701;2,4983;0,4436;0,3817;0,5751;0,9884;2,1605;1,9818;1,2238;6,0014;0,0678;0,2271;0,3149;1,3581;0,8941;0,0997;2,8804;0,2308;0,4700;4,8490;;10;/A/NBP/2009
16.01.2009;0,0900;3,1353;2,1128;0,4042;2,5215;1,7135;2,1086;4,1522;1,5022;2,7995;4,6820;0,3827;3,4658;0,1535;0,5572;0,2654;2,4620;0,4497;0,3845;0,5626;0,9743;2,1230;1,9607;1,2025;5,8997;0,0665;0,2253;0,3154;1,3316;0,8766;0,0963;2,8362;0,2310;0,4587;4,7949;;11;/A/NBP/2009
19.01.2009;0,0931;3,2473;2,2061;0,4189;2,6177;1,7873;2,1755;4,3113;1,5365;2,8976;4,7670;0,3974;3,5889;0,1561;0,5786;0,2756;2,5558;0,4736;0,4001;0,5832;1,0063;2,2044;1,9895;1,2486;6,1301;0,0690;0,2331;0,3240;1,3871;0,9073;0,0986;2,9489;0,2388;0,4752;4,9204;;12;/A/NBP/2009
20.01.2009;0,0955;3,3381;2,2187;0,4303;2,6572;1,7786;2,2139;4,3280;1,5175;2,9162;4,6661;0,3989;3,6786;0,1558;0,5809;0,2766;2,5845;0,4714;0,3985;0,5845;1,0051;2,2128;2,0096;1,2535;6,1547;0,0703;0,2387;0,3262;1,4338;0,9243;0,1000;2,9603;0,2429;0,4878;4,9395;;13;/A/NBP/2009
