#year;annual salary in pln (assuming denomination happened in 1950, source: https://www.zus.pl/baza-wiedzy/skladki-wskazniki-odsetki/wskazniki/przecietne-wynagrodzenie-w-latach, 2020.04.25)
1950;0.6612
1951;0.7188
1952;0.7824
1953;1.1040
1954;1.1700
1955;1.2096
1956;1.3416
1957;1.5348
1958;1.6176
1959;1.7436
1960;1.8720
1961;1.9500
1962;2.0160
1963;2.1156
1964;2.1792
1965;2.2404
1966;2.3208
1967;2.4192
1968;2.5272
1969;2.6088
1970;2.6820
1971;2.8296
1972;3.0108
1973;3.3576
1974;3.8220
1975;4.6956
1976;5.1372
1977;5.5152
1978;5.8644
1979;6.3924
1980;7.2480
1981;9.2268
1982;13.9572
1983;17.3700
1984;20.2056
1985;24.0060
1986;28.9140
1987;35.0208
1988;63.7080
1989;248.1096
1990;1235.5644
1991;2124.0000
1992;3522.0000
1993;4794.0000
1994;6393.6000
1995;8431.44
1996;10476.00
1997;12743.16
1998;14873.88
1999;20480.88
2000;23085.72
2001;24742.20
2002;25598.52
2003;26417.64
2004;27474.84
2005;28563.48
2006;29726.76
2007;32292.36
2008;35326.56
2009;37235.52
2010;38699.76
2011;40794.24
2012;42260.04
2013;43800.72
2014;45401.52
2015;46797.36
2016;48566.52
2017;51258.12
2018;55020.36
2019;59018.04
