#year-month;price pln (assuming denomination happened in 1965, source: https://stat.gov.pl/obszary-tematyczne/przemysl-budownictwo-srodki-trwale/budownictwo/cena-1-m2-powierzchni-uzytkowej-budynku-mieszkalnego-oddanego-do-uzytkowania,8,1.html, http://www.mekk.waw.pl/mk/mk/mieszkanie/mieszkanie_premia_tabela 2020.02.23)
1965-01;0.2500
1965-02;0.2500
1965-03;0.2500
1965-04;0.2500
1965-05;0.2500
1965-06;0.2500
1965-07;0.2500
1965-08;0.2500
1965-09;0.2500
1965-10;0.2500
1965-11;0.2500
1965-12;0.2500
1966-01;0.2500
1966-02;0.2500
1966-03;0.2500
1966-04;0.2500
1966-05;0.2500
1966-06;0.2500
1966-07;0.2500
1966-08;0.2500
1966-09;0.2500
1966-10;0.2500
1966-11;0.2500
1966-12;0.2500
1967-01;0.2500
1967-02;0.2500
1967-03;0.2500
1967-04;0.2500
1967-05;0.2500
1967-06;0.2500
1967-07;0.2500
1967-08;0.2500
1967-09;0.2500
1967-10;0.2500
1967-11;0.2500
1967-12;0.2500
1968-01;0.2500
1968-02;0.2500
1968-03;0.2500
1968-04;0.2500
1968-05;0.2500
1968-06;0.2500
1968-07;0.2500
1968-08;0.2500
1968-09;0.2500
1968-10;0.2500
1968-11;0.2500
1968-12;0.2500
1969-01;0.2500
1969-02;0.2500
1969-03;0.2500
1969-04;0.2500
1969-05;0.2500
1969-06;0.2500
1969-07;0.2500
1969-08;0.2500
1969-09;0.2500
1969-10;0.2500
1969-11;0.2500
1969-12;0.2500
1970-01;0.2500
1970-02;0.2500
1970-03;0.2500
1970-04;0.2500
1970-05;0.2500
1970-06;0.2500
1970-07;0.2500
1970-08;0.2500
1970-09;0.2500
1970-10;0.2500
1970-11;0.2500
1970-12;0.2500
1971-01;0.3000
1971-02;0.3000
1971-03;0.3000
1971-04;0.3000
1971-05;0.3000
1971-06;0.3000
1971-07;0.3000
1971-08;0.3000
1971-09;0.3000
1971-10;0.3000
1971-11;0.3000
1971-12;0.3000
1972-01;0.3000
1972-02;0.3000
1972-03;0.3000
1972-04;0.3000
1972-05;0.3000
1972-06;0.3000
1972-07;0.3000
1972-08;0.3000
1972-09;0.3000
1972-10;0.3000
1972-11;0.3000
1972-12;0.3000
1973-01;0.3000
1973-02;0.3000
1973-03;0.3000
1973-04;0.3000
1973-05;0.3000
1973-06;0.3000
1973-07;0.3000
1973-08;0.3000
1973-09;0.3000
1973-10;0.3000
1973-11;0.3000
1973-12;0.3000
1974-01;0.3000
1974-02;0.3000
1974-03;0.3000
1974-04;0.3000
1974-05;0.3000
1974-06;0.3000
1974-07;0.3000
1974-08;0.3000
1974-09;0.3000
1974-10;0.3000
1974-11;0.3000
1974-12;0.3000
1975-01;0.3000
1975-02;0.3000
1975-03;0.3000
1975-04;0.3000
1975-05;0.3000
1975-06;0.3000
1975-07;0.3000
1975-08;0.3000
1975-09;0.3000
1975-10;0.3000
1975-11;0.3000
1975-12;0.3000
1976-01;0.3900
1976-02;0.3900
1976-03;0.3900
1976-04;0.3900
1976-05;0.3900
1976-06;0.3900
1976-07;0.3900
1976-08;0.3900
1976-09;0.3900
1976-10;0.3900
1976-11;0.3900
1976-12;0.3900
1977-01;0.3900
1977-02;0.3900
1977-03;0.3900
1977-04;0.3900
1977-05;0.3900
1977-06;0.3900
1977-07;0.3900
1977-08;0.3900
