1985;Arabia Saudyjska;Australia;Austria;Belgia;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt ;Liban;Libia;Luksemburg;Norwegia;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W.Brytania;Włochy;;
;1 rial;1 dolar;100 szylingów;100 franków;1 korona;1 marka;1 frank;100 drachm;100 peset;1 floren;1 rupia;100 riali;1 funt;100 yenów;100 dinarów;1 dolar;1 dinar;1funt;1 dinar;100 franków;1 korona;100 escudo;1 marka;1 dolar;1 frank;1 korona;100 funtów;1 funt;100 lirów;1 ECU;nr. tabeli
data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.1985;38,76;115,23;628,70;220,80;12,36;21,27;14,49;108,15;79,95;39,26;11,21;148,57;137,72;55,70;67,98;104,94;454,40;15,54;465,02;220,80;15,33;82,64;44,30;138,00;53,78;15,51;33,28;161,36;7,21;98,51;1/85
07.01.1985;38,76;113,66;624,10;218,68;12,26;21,05;14,32;107,73;79,44;38,81;11,17;150,25;136,64;55,15;65,58;104,96;407,46;15,57;467,93;218,68;15,21;82,17;43,82;138,86;53,12;15,39;32,80;159,83;7,15;97,75;2/85
14.01.1985;38,67;112,86;628,89;220,34;12,36;21,09;14,41;107,85;80,00;39,06;11,05;149,84;137,89;54,60;64,94;105,03;454,33;14,43;466,64;220,34;15,25;81,94;44,12;138,48;52,82;15,40;32,43;160,06;7,19;98,25;3/85
21.01.1985;38,94;113,61;622,25;218,60;12,22;20,89;14,28;107,51;79,15;38,71;11,06;150,88;136,27;54,63;65,47;105,32;455,41;14,45;469,89;218,60;15,10;81,07;43,67;139,45;52,05;15,25;32,58;155,86;7,13;97,25;4/85
28.01.1985;38,91;113,18;624,51;218,66;12,26;20,90;14,30;107,59;79,12;38,75;11,01;149,26;136,15;54,77;65,16;105,22;455,55;13,93;469,50;218,66;15,12;81,01;43,79;139,33;52,01;15,27;32,45;155,66;7,13;97,29;5/85
04.02.1985;38,83;113,53;626,34;219,84;12,32;20,95;14,39;107,54;79,41;38,88;10,99;147,07;136,78;54,73;63,17;104,89;454,48;13,12;468,55;219,84;15,17;80,84;43,97;139,05;52,31;15,38;32,33;155,25;7,13;97,58;6/85
11.02.1985;39,05;109,17;619,16;217,36;12,17;20,80;14,24;106,85;78,73;38,44;10,95;147,94;135,25;53,82;61,73;104,89;455,45;10,14;471,32;217,36;15,08;80,85;43,49;139,87;51,07;15,28;32,28;155,67;7,08;96,78;7/85
18.02.1985;39,28;105,90;612,15;214,24;12,04;20,76;14,08;106,13;77,93;37,99;10,91;148,86;133,64;53,69;61,13;105,17;456,19;10,05;474,23;214,24;14,98;79,96;42,99;140,73;50,46;15,19;32,04;154,24;7,00;95,74;8/85
25.02.1985;39,41;99,31;608,74;212,50;11,93;20,56;13,95;105,43;77,33;37,70;10,92;150,58;133,12;54,11;61,50;105,25;457,07;10,16;475,69;212,50;14,91;78,86;42,69;141,17;50,26;15,13;31,83;154,15;6,92;95,01;9/85
04.03.1985;39,29;101,74;597,49;212,00;11,85;20,52;13,73;103,22;76,64;37,24;10,96;149,60;131,93;54,66;56,08;102,25;458,74;9,60;476,50;212,00;14,82;78,56;42,09;141,41;49,45;14,84;30,44;152,05;6,75;94,04;10/85
11.03.1985;39,56;96,77;587,69;205,59;11,57;20,05;13,53;99,31;74,93;36,57;10,84;150,77;128,62;54,42;56,39;101,43;463,84;8,41;480,23;205,59;14,52;77,03;41,43;142,51;48,50;14,68;30,49;150,11;6,64;91,95;11/85
18.03.1985;39,04;98,61;601,59;210,56;11,87;20,44;13,83;100,41;76,42;37,29;10,93;146,54;131,48;54,39;56,29;101,75;462,39;8,40;475,38;210,56;14,80;77,51;42,24;141,07;49,85;14,85;30,20;152,36;6,76;93,96;12/85
25.03.1985;38,91;97,47;605,30;211,42;11,89;20,50;13,92;98,80;76,62;37,62;10,85;145,93;131,71;54,22;55,73;101,95;462,37;7,72;473,41;211,42;14,85;77,19;42,51;140,49;49,86;14,92;29,79;157,25;6,72;94,37;13/85
29.03.1985;35,26;95,84;621,81;217,37;12,22;20,16;14,29;97,14;75,34;38,68;10,67;143,49;129,50;54,58;54,80;100,90;454,62;7,59;465,48;217,37;15,21;75,90;43,71;138,14;51,64;15,19;29,29;166,80;6,86;92,79;14/85
01.04.1985;38,22;97,61;624,14;218,02;12,27;21,11;14,37;102,13;78,85;38,81;11,05;143,21;135,94;54,63;54,61;100,93;455,18;7,97;464,59;218,02;15,28;78,34;43,84;137,87;51,80;15,23;29,33;168,07;6,87;98,10;15/85
09.04.1985;38,06;90,31;629,59;219,78;12,33;21,16;14,49;101,48;79,20;39,21;11,08;142,57;138,35;54,26;54,27;100,26;453,57;7,65;462,49;219,78;15,31;80,26;44,27;137,25;52,16;15,25;29,01;168,51;6,93;98,75;16/85
15.04.1985;38,18;91,71;623,53;218,25;12,26;21,05;14,40;100,99;78,79;38,89;10,87;143,05;137,48;54,08;53,79;100,39;455,24;7,79;464,35;218,25;15,24;79,20;43,96;137,80;51,84;15,17;27,55;166,67;6,91;98,07;17/85
22.04.1985;37,63;90,78;641,75;223,24;12,55;21,52;14,73;103,46;80,69;39,76;11,16;140,96;140,96;54,36;54,36;99,23;451,75;7,87;457,59;223,24;15,55;79,88;45,00;135,80;54,16;15,39;27,49;173,68;7,04;100,76;18/85
