1986;Arabia Saudyjska;Australia;Austria;Belgia;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt ;Liban;Libia;Luksemburg;Norwegia;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W.Brytania;Włochy;;;
;1 rial;1 dolar;100 szylingów;100 franków;1 korona;1 marka;1 frank;100 drachm;100 peset;1 floren;1 rupia;100 riali;1 funt;100 yenów;100 dinarów;1 dolar;1 dinar;1funt;1 dinar;100 franków;1 korona;100 escudo;1 marka;1 dolar;1 frank;1 korona;100 funtów;1 funt;100 lirów;1 ECU;1 SDR;nr tabeli
data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.1986;40,58;101,15;839,02;287,71;16,21;26,95;19,20;98,40;94,65;52,24;12,16;173,72;181,15;73,06;48,68;105,91;509,24;8,12;498,94;287,71;19,30;92,84;58,88;148,09;69,98;19,25;25,84;210,80;8,64;128,69;;1/86
06.01.1986;40,28;100,32;850,62;292,51;16,40;27,10;19,49;99,18;95,54;53,05;12,16;172,43;182,82;73,16;46,80;105,10;507,73;8,13;495,24;292,51;19,40;93,62;59,74;146,99;70,79;19,35;25,61;212,19;8,75;130,41;;2/86
13.01.1986;40,17;100,02;855,72;294,52;16,46;27,22;19,64;99,55;96,00;53,41;12,05;171,96;183,09;72,83;46,58;104,26;506,69;7,97;493,88;294,52;19,47;93,96;60,15;146,58;70,95;19,38;25,38;211,00;8,81;131,86;;3/86
20.01.1986;40,36;101,19;846,51;291,27;16,19;27,02;19,44;98,39;95,55;52,85;12,08;173,24;182,45;72,59;46,67;105,28;507,73;7,99;496,27;291,27;19,37;93,82;59,51;147,29;70,26;19,29;25,14;212,21;8,73;130,06;;4/86
27.01.1986;40,30;102,90;850,83;292,93;16,33;27,01;19,50;98,43;95,59;53,08;11,96;173,69;182,27;72,65;46,61;104,93;507,62;7,77;495,65;292,93;19,42;93,70;59,80;147,11;70,51;19,29;24,90;208,61;8,78;130,15;;5/86
01.02.1986;46,56;121,13;1008,30;345,74;19,24;31,57;23,05;115,45;112,40;62,77;13,68;200,72;214,32;86,78;54,51;120,40;590,28;8,70;572,78;345,74;22,69;109,68;70,86;170,00;83,68;22,50;28,94;234,48;10,39;153,17;;6/86
10.02.1986;46,59;117,70;1005,86;345,71;19,20;31,61;23,06;115,51;112,23;62,55;13,56;201,98;214,01;88,66;53,95;117,75;593,27;8,72;573,08;345,71;22,69;109,74;70,87;170,09;83,45;22,48;28,87;233,80;10,39;152,70;;7/86
17.02.1986;46,40;116,72;1012,57;347,99;19,34;31,80;23,24;116,23;113,09;62,96;13,57;201,17;215,36;90,20;52,82;121,09;594,19;8,64;570,76;347,99;22,93;110,00;71,18;169,40;84,72;22,59;28,56;237,92;10,47;154,07;;8/86
