data;Arabia Saud.;Australia;Austria;Belgia;Belgia;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt;Liban;Libia;Luksemburg;Luksemburg;Norwegia;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W. Brytania;Włochy;ECU;SDR;;Tabela Kursów ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nr;
;1rial;1dolar;1szyling;100 franków;100 franków;1korona;1marka;1frank;100 drachm;100 peset;1gulden;1rupia;100 riali;1funt;100 yenów;100 dinarów;1dolar;1dinar;100 funtów;1 dinar;100 franków;100 franków;1 korona;100 escudo;1marka;1dolar;1frank;1korona;100 funtów;1funt;100 lirów;1ECU;1SDR;;;
27.12.1988;133,98;426,43;40,35;1354,57;;73,51;120,63;83,00;342,33;439,02;251,15;33,39;746,95;758,10;402,29;10,34;418,96;1786,51;98,93;1772,65;1354,57;;76,65;342,10;283,92;502,55;336,04;82,01;28,21;910,90;38,64;590,26;680,03;;52;/88
2.01.1989;134,11;429,15;40,30;1350,49;1347,96;73,29;120,79;83,05;340,99;439,69;250,87;33,47;747,31;756,07;403,04;10,11;420,22;1788,01;96,69;1773,50;1350,49;1347,96;76,70;344,97;284,06;502,79;335,64;82,06;27,78;904,29;38,50;587,78;676,43;;1;/89
9.01.1989;133,70;433,61;40,51;1357,23;1352,84;73,64;121,61;83,34;342,30;445,71;252,07;33,46;745,09;760,57;404,92;10,08;421,61;1778,90;92,40;1768,23;1357,23;1352,84;77,16;344,77;284,83;501,29;335,99;82,52;27,59;915,44;38,59;591,22;674,60;;2;/89
16.01.1989;135,56;440,66;39,63;1328,94;1323,92;72,14;120,21;81,78;336,04;446,03;246,88;33,75;751,97;746,66;403,47;9,55;424,07;1792,78;93,26;1772,77;1328,94;1323,92;76,35;340,54;279,26;508,25;326,85;81,42;27,51;900,36;38,03;580,46;673,27;;3;/89
23.01.1989;136,24;439,38;39,38;1320,51;1313,72;71,48;119,73;81,16;332,84;441,96;245,04;33,88;768,97;739,80;400,71;9,60;427,00;1790,77;95,50;1760,53;1320,51;1313,72;76,18;336,79;276,17;510,91;324,90;81,16;27,60;904,74;37,77;576,97;675,89;;4;/89
30.01.1989;135,45;446,41;39,68;1329,19;1321,92;71,79;120,15;81,85;335,35;447,08;246,66;33,61;764,42;745,46;401,23;9,00;428,23;1777,68;98,62;1750,11;1329,19;1321,92;76,60;339,95;279,06;507,88;328,81;81,59;27,26;904,83;37,99;580,37;669,50;;5;/89
6.02.1989;136,57;454,74;39,09;1311,69;1306,01;70,80;119,26;80,85;332,07;444,63;243,47;33,77;734,36;734,89;395,84;8,61;433,53;1781,62;98,50;1756,57;1311,69;1306,01;76,25;336,32;275,39;512,22;323,27;80,98;27,20;902,27;37,61;573,91;670,44;;6;/89
13.02.1989;136,94;453,29;38,99;1308,94;1302,63;70,59;118,98;80,60;330,84;440,88;242,79;33,79;736,38;731,46;396,32;8,44;434,36;1780,96;97,83;1761,41;1308,94;1302,63;75,95;335,92;274,67;513,63;322,63;80,82;27,02;891,87;37,52;572,10;669,05;;7;/89
20.02.1989;147,97;492,28;42,37;1422,71;1415,82;76,71;129,28;87,68;357,60;479,85;264,29;36,47;795,70;796,16;436,15;8,86;468,55;1927,08;105,51;1911,16;1422,71;1415,82;82,53;363,93;298,39;555,00;351,27;87,77;29,00;976,60;40,91;622,34;727,39;;8;/89
27.02.1989;149,31;454,43;42,97;1441,07;1435,16;77,67;130,23;88,71;361,20;485,52;267,69;36,63;802,87;805,76;440,08;8,70;471,38;1939,73;108,74;1935,71;1441,07;1435,16;83,33;368,42;301,89;560,00;355,22;88,54;29,14;977,48;41,27;630,63;743,10;;9;/89
6.03.1989;148,53;446,81;43,32;1452,62;1446,96;78,21;130,16;89,46;362,33;485,90;269,84;36,29;797,31;811,12;437,78;7,98;464,43;1934,98;116,06;1925,61;1452,62;1446,96;83,05;369,05;304,75;557,08;357,10;88,45;28,87;968,16;41,34;632,69;740,01;;10;/89
13.03.1989;151,98;460,87;43,66;1465,30;1459,29;78,87;131,88;90,50;365,62;493,08;272,14;37,18;815,80;818,38;442,82;7,97;476,99;1969,57;114,00;1966,20;1465,30;1459,29;84,33;373,40;307,28;570,00;359,39;89,67;29,15;981,91;41,80;638,73;749,51;;11;/89
20.03.1989;152,41;464,62;43,54;1463,38;1456,74;78,57;131,28;90,35;364,93;492,44;271,38;37,04;817,92;818,50;439,43;7,53;477,43;1975,38;116,63;1950,44;1463,38;1456,74;84,11;372,30;306,42;571,48;357,96;89,52;28,95;979,06;41,74;637,31;747,03;;12;/89
28.03.1989;152,66;473,22;43,46;1459,10;1453,35;78,37;135,19;90,24;363,64;491,16;270,84;36,87;821,09;817,11;435,40;7,10;479,52;1978,40;118,17;1944,14;1459,10;1453,35;84,12;372,27;305,36;572,55;354,08;89,51;28,79;982,24;41,67;636,59;744,44;;13;/89
3.04.1989;159,98;490,52;45,30;1520,33;1514,58;81,67;141,21;94,15;378,07;511,29;282,35;38,44;851,31;850,94;451,47;7,00;502,72;2066,12;123,97;2037,35;1520,33;1514,58;87,78;387,47;319,15;600,00;364,79;93,41;29,84;1020,23;43,44;663,28;778,01;;14;/89
10.04.1989;167,98;517,88;47,96;1610,55;1603,87;86,60;149,61;99,96;397,60;542,17;299,07;40,44;893,87;899,10;481,47;7,07;530,08;2176,17;126,00;2121,21;1610,55;1603,87;92,89;409,36;336,90;630,00;385,44;99,00;30,92;1074,54;45,97;702,11;814,16;;15;/89
