data;Arabia Saud.;Australia;Austria;Belgia;Belgia;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt;Liban;Libia;Luksemburg;Luksemburg;Norwegia;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W. Brytania;Włochy;ECU;SDR;;;
;1rial;1dolar;1szyling;1 frank;1 frank;1korona;1marka;1frank;100 drachm;100 peset;1gulden;1rupia;1 rial;1funt;100 yenów;1 n.dinar;1dolar;1dinar;100 funtów;1 dinar;1 frank;1 frank;1 korona;100 escudo;1marka;1dolar;1frank;1korona;100 funtów;1funt;100 lirów;1ECU;1SDR;;Tabela Kursów ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nr;
1.01.1990;2532,19;7576,36;805,08;*26919.81;*26927.44;1444,43;2355,86;1655,05;6058,67;8755,76;5013,19;563,13;**13096.22;14758,43;6690,14;***7.99;8225,11;32467,53;1932,86;32236,17;*26919.81;*26927.44;1448,83;6388,70;5654,76;9500,00;6188,93;1533,49;410,60;15419,57;755,17;11363,64;12521,42;;1;/90
8.01.1990;2533,00;7436,00;787,00;263,00;263,00;1426,00;2327,00;1623,00;5945,00;8574,00;4907,00;559,00;131,00;14615,00;6516,00;***8.00;8176,00;32401,00;1811,00;32702,00;263,00;263,00;1429,00;6293,00;5556,00;9500,00;6034,00;1519,00;410,00;15315,00;740,00;11205,00;12518,00;;2;/90
15.01.1990;2533,00;7471,00;803,00;269,00;269,00;1457,00;2386,00;1658,00;6078,00;9705,00;5005,00;562,00;131,00;14984,00;6543,00;***8.00;8183,00;32590,00;1715,00;32702,00;269,00;269,00;1459,00;6441,00;5649,00;9500,00;6226,00;1548,00;410,00;15713,00;755,00;11514,00;12561,00;;3;/90
22.01.1990;2534,00;7534,00;799,00;269,00;269,00;1451,00;2393,00;1652,00;5956,00;8640,00;4983,00;559,00;134,00;14765,00;6539,00;***8.00;8172,00;32601,00;1696,00;32713,00;269,00;269,00;1459,00;6325,00;5616,00;9500,00;6293,00;1548,00;408,00;15783,00;754,00;11292,00;12558,00;;4;/90
29.01.1990;2533,00;7557,00;786,00;264,00;264,00;1423,00;2354,00;1623,00;5971,00;8586,00;4891,00;558,00;136,00;14756,00;6489,00;***8.00;8034,00;32468,00;1737,00;32713,00;264,00;264,00;1432,00;6338,00;5514,00;9500,00;6199,00;1518,00;404,00;15576,00;742,00;11337,00;12423,00;;5;/90
5.02.1990;2534,00;7267,00;804,00;271,00;271,00;1467,00;2404,00;1666,00;6018,00;8748,00;5021,00;560,00;136,00;14984,00;6602,00;812,00;7980,00;32747,00;1743,00;32752,00;271,00;271,00;1466,00;6399,00;5662,00;9500,00;6384,00;1552,00;404,00;15983,00;761,00;11494,00;12610,00;;6;/90
12.02.1990;2533,00;7291,00;812,00;274,00;273,00;1482,00;2419,00;1681,00;6080,00;8814,00;5069,00;561,00;136,00;15156,00;6547,00;817,00;8000,00;32736,00;1735,00;32752,00;274,00;273,00;1481,00;6478,00;5725,00;9500,00;6425,00;1563,00;403,00;16151,00;770,00;11665,00;12690,00;;7;/90
19.02.1990;2533,00;7149,00;804,00;271,00;270,00;1463,00;2396,00;1666,00;6016,00;8772,00;5025,00;561,00;136,00;15032,00;6583,00;808,00;7917,00;32702,00;1743,00;32752,00;271,00;270,00;1467,00;6441,00;5664,00;9500,00;6348,00;1546,00;399,00;16061,00;761,00;11564,00;12578,00;;8;/90
