data;Australia;Austria;Belgia;CHRL;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt;100Liban;Libia;Luksemburg;Norwegia;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W. Brytania;Włochy;ECU;SDR;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nr. tab;
;1dolar;1szyling;1frank;1CHF  cl.;1korona;1marka;1frank;100drachm;100peset;1gulden;1rupia;1rial;1dolar cl.;1funt;100yenów;1nowy dinar;1dolar;1dinar;100funtów;1dinar;1frank;1korona;100escudo;1marka;1dolar;1frank;1korona;100lirów;1funt;100lirów;1ECU;1SDR;;
2.01.1992;8334,00;1024,00;351,00;8093,00;1854,00;2653,00;2116,00;6253,00;11325,00;6408,00;341,00;169,00;9208,00;19275,00;8764,00;560,00;9481,00;38095,00;1247,00;39889,00;351,00;1834,00;8159,00;7226,00;10962,00;8093,00;1976,00;216,00;20504,00;954,00;14678,00;15664,00;1;/92
3.01.1992;8289,00;1027,00;351,00;8105,00;1856,00;2659,00;2116,00;6253,00;11367,00;6414,00;340,00;169,00;9212,00;19180,00;8848,00;560,00;9502,00;38114,00;1248,00;39909,00;351,00;1834,00;8223,00;7226,00;10967,00;8105,00;1980,00;215,00;20603,00;955,00;14681,00;15687,00;2;/92
6.01.1992;8369,00;1021,00;349,00;8075,00;1847,00;2648,00;2106,00;6225,00;11334,00;6380,00;343,00;171,00;9289,00;19089,00;8861,00;564,00;9622,00;38431,00;1258,00;40241,00;349,00;1827,00;8250,00;7187,00;11058,00;8075,00;1971,00;217,00;20539,00;952,00;14625,00;15854,00;3;/92
7.01.1992;8412,00;1026,00;351,00;8120,00;1855,00;2661,00;2115,00;6253,00;11383,00;6409,00;342,00;170,00;9255,00;19184,00;8828,00;562,00;9610,00;38290,00;1253,00;40093,00;351,00;1834,00;8279,00;7218,00;11017,00;8120,00;1980,00;214,00;20593,00;957,00;14715,00;15699,00;4;/92
8.01.1992;8340,00;1029,00;352,00;8161,00;1863,00;2666,00;2122,00;6271,00;11401,00;6432,00;341,00;170,00;9229,00;19245,00;8924,00;561,00;9605,00;38183,00;1250,00;39981,00;352,00;1840,00;8308,00;7243,00;10987,00;8161,00;1986,00;214,00;20636,00;958,00;14749,00;15704,00;5;/92
9.01.1992;8331,00;1031,00;352,00;8158,00;1867,00;2660,00;2126,00;6290,00;11396,00;6444,00;341,00;170,00;9228,00;19280,00;8819,00;561,00;9617,00;38180,00;1250,00;39978,00;352,00;1843,00;8326,00;7259,00;10986,00;8158,00;1989,00;214,00;20631,00;960,00;14780,00;15775,00;6;/92
10.01.1992;8243,00;1029,00;351,00;8120,00;1862,00;2654,00;2120,00;6269,00;11359,00;6428,00;343,00;174,00;9283,00;19229,00;8868,00;564,00;9632,00;38406,00;1257,00;41204,00;351,00;1838,00;8304,00;7239,00;11051,00;8120,00;1984,00;215,00;20552,00;957,00;14727,00;15850,00;7;/92
13.01.1992;8257,00;1019,00;348,00;8047,00;1847,00;2636,00;2101,00;6229,00;11265,00;6368,00;348,00;177,00;9415,00;19088,00;8909,00;572,00;9735,00;38953,00;1275,00;41791,00;348,00;1822,00;8246,00;7171,00;11208,00;8047,00;1966,00;217,00;20371,00;949,00;14628,00;16010,00;8;/92
14.01.1992;8345,00;1017,00;348,00;8046,00;1845,00;2629,00;2098,00;6205,00;11229,00;6355,00;349,00;178,00;9457,00;19057,00;8885,00;555,00;9810,00;39128,00;1281,00;41979,00;348,00;1819,00;8244,00;7157,00;11259,00;8046,00;1962,00;213,00;20297,00;948,00;14569,00;15902,00;9;/92
15.01.1992;8398,00;1018,00;348,00;8063,00;1848,00;2629,00;2101,00;6210,00;11252,00;6364,00;349,00;178,00;9454,00;19073,00;8912,00;550,00;9797,00;39116,00;1280,00;41965,00;348,00;1821,00;8285,00;7167,00;11255,00;8063,00;1966,00;212,00;20334,00;949,00;14596,00;15826,00;10;/92
16.01.1992;8492,00;1005,00;343,00;7966,00;1824,00;2598,00;2073,00;6146,00;11137,00;6280,00;355,00;181,00;9625,00;18837,00;8920,00;562,00;9914,00;39822,00;1304,00;42724,00;343,00;1798,00;8181,00;7071,00;11459,00;7966,00;1942,00;217,00;20152,00;938,00;14422,00;16136,00;11;/92
17.01.1992;8526,00;1006,00;344,00;7970,00;1825,00;2600,00;2076,00;6135,00;11159,00;6288,00;355,00;181,00;9629,00;18854,00;8932,00;554,00;9930,00;39838,00;1304,00;42741,00;344,00;1801,00;8178,00;7080,00;11463,00;7970,00;1944,00;212,00;20157,00;939,00;14433,00;15899,00;12;/92
20.01.1992;8534,00;1005,00;343,00;7995,00;1824,00;2595,00;2073,00;6131,00;11165,00;6279,00;354,00;181,00;9651,00;18836,00;8976,00;545,00;9967,00;39931,00;1307,00;42841,00;343,00;1799,00;8174,00;7071,00;11490,00;7995,00;1942,00;212,00;20186,00;939,00;14397,00;15945,00;13;/92
21.01.1992;8527,00;1016,00;347,00;8088,00;1844,00;2626,00;2097,00;6186,00;11298,00;6350,00;350,00;179,00;9530,00;19036,00;9167,00;536,00;9882,00;39430,00;1291,00;42303,00;347,00;1820,00;8280,00;7150,00;11346,00;8088,00;1964,00;210,00;20413,00;949,00;14574,00;15727,00;14;/92
22.01.1992;8537,00;1015,00;347,00;8060,00;1843,00;2626,00;2096,00;6201,00;11317,00;6345,00;351,00;179,00;9554,00;19032,00;9195,00;550,00;9845,00;39526,00;1294,00;42406,00;347,00;1819,00;8280,00;7144,00;11373,00;8060,00;1964,00;211,00;20456,00;949,00;14587,00;15766,00;15;/92
23.01.1992;8534,00;1018,00;348,00;8091,00;1848,00;2633,00;2102,00;6204,00;11331,00;6361,00;351,00;179,00;9536,00;19079,00;9214,00;550,00;9841,00;39452,00;1291,00;42327,00;348,00;1824,00;8301,00;7162,00;11352,00;8091,00;1970,00;210,00;20528,00;953,00;14610,00;15975,00;16;/92
24.01.1992;8538,00;1017,00;347,00;8068,00;1844,00;2628,00;2098,00;6195,00;11326,00;6354,00;352,00;180,00;9568,00;19060,00;9229,00;552,00;9864,00;39585,00;1296,00;40635,00;347,00;1822,00;8299,00;7155,00;11390,00;8068,00;1968,00;211,00;20512,00;951,00;14597,00;16067,00;17;/92
27.01.1992;8470,00;1012,00;346,00;8019,00;1836,00;2614,00;2089,00;6176,00;11269,00;6325,00;354,00;181,00;9640,00;18999,00;9235,00;555,00;9827,00;39882,00;1306,00;40940,00;346,00;1814,00;8263,00;7123,00;11476,00;8019,00;1958,00;212,00;20430,00;946,00;14530,00;16156,00;18;/92
28.01.1992;8502,00;1014,00;346,00;8033,00;1841,00;2620,00;2094,00;6183,00;11322,00;6336,00;354,00;181,00;9634,00;19019,00;9182,00;109,00;9779,00;39857,00;1305,00;40915,00;346,00;1819,00;8283,00;7134,00;11469,00;8033,00;1964,00;210,00;20483,00;950,00;14576,00;16044,00;19;/92
29.01.1992;8582,00;1014,00;346,00;8026,00;1840,00;2620,00;2094,00;6183,00;11330,00;6336,00;354,00;181,00;9650,00;19020,00;9111,00;110,00;9810,00;39925,00;1307,00;40984,00;346,00;1819,00;8283,00;7134,00;11488,00;8026,00;1964,00;210,00;20496,00;949,00;14588,00;16081,00;20;/92
30.01.1992;8468,00;1021,00;349,00;8061,00;1852,00;2637,00;2107,00;6220,00;11386,00;6379,00;353,00;180,00;9591,00;19151,00;9105,00;109,00;9718,00;39681,00;1299,00;40734,00;349,00;1830,00;8340,00;7183,00;11418,00;8061,00;1977,00;208,00;20588,00;955,00;14670,00;15951,00;21;/92
31.01.1992;8535,00;1017,00;347,00;8037,00;1846,00;2626,00;2100,00;6202,00;11378,00;6355,00;355,00;181,00;9646,00;19072,00;9138,00;111,00;9761,00;39909,00;1306,00;40968,00;347,00;1825,00;8308,00;7156,00;11483,00;8037,00;1971,00;210,00;20576,00;953,00;14625,00;16135,00;22;/92
3.02.1992;8650,00;1015,00;347,00;8031,00;1842,00;2624,00;2097,00;6189,00;11357,00;6345,00;355,00;182,00;9682,00;19049,00;9221,00;110,00;9815,00;40058,00;1311,00;41121,00;347,00;1821,00;8293,00;7143,00;11526,00;8031,00;1967,00;210,00;20557,00;951,00;14601,00;16127,00;23;/92
4.02.1992;8657,00;1018,00;348,00;8044,00;1849,00;2630,00;2103,00;6196,00;11397,00;6363,00;356,00;181,00;9665,00;19119,00;9155,00;110,00;9800,00;39986,00;1309,00;41047,00;348,00;1827,00;8317,00;7164,00;11506,00;8044,00;1973,00;208,00;20616,00;954,00;14642,00;16078,00;24;/92
5.02.1992;8635,00;1021,00;349,00;8050,00;1854,00;2637,00;2109,00;6218,00;11418,00;6383,00;356,00;181,00;9650,00;19173,00;9108,00;85,00;9772,00;39926,00;1307,00;40986,00;349,00;1832,00;8350,00;7186,00;11488,00;8050,00;1978,00;208,00;20644,00;956,00;14676,00;16070,00;25;/92
6.02.1992;8516,00;1025,00;350,00;8086,00;1860,00;2646,00;2116,00;6235,00;11441,00;6408,00;355,00;181,00;9623,00;19247,00;9089,00;85,00;9713,00;39814,00;1303,00;40870,00;350,00;1838,00;8375,00;7214,00;11456,00;8086,00;1984,00;208,00;20682,00;959,00;14738,00;16038,00;26;/92
7.02.1992;8521,00;1029,00;352,00;8115,00;1868,00;2657,00;2125,00;6254,00;11501,00;6434,00;354,00;176,00;9589,00;19316,00;9115,00;85,00;9681,00;39673,00;1299,00;41511,00;352,00;1845,00;8409,00;7242,00;11416,00;8115,00;1993,00;207,00;20778,00;962,00;14777,00;16031,00;27;/92
10.02.1992;8558,00;1029,00;352,00;8112,00;1866,00;2653,00;2124,00;6260,00;11502,00;6432,00;355,00;177,00;9610,00;19312,00;9088,00;86,00;9672,00;39760,00;1302,00;41602,00;352,00;1844,00;8397,00;7239,00;11441,00;8112,00;1992,00;208,00;20790,00;962,00;14796,00;16129,00;28;/92
11.02.1992;8523,00;1034,00;353,00;8156,00;1876,00;2667,00;2135,00;6271,00;11551,00;6466,00;353,00;176,00;9563,00;19398,00;9069,00;85,00;9678,00;39566,00;1295,00;41399,00;353,00;1854,00;8436,00;7278,00;11385,00;8156,00;2002,00;207,00;20859,00;967,00;14830,00;16026,00;29;/92
12.02.1992;8647,00;1028,00;351,00;8081,00;1865,00;2651,00;2123,00;6251,00;11488,00;6427,00;355,00;178,00;9659,00;19286,00;9042,00;87,00;9735,00;39961,00;1308,00;41812,00;351,00;1843,00;8399,00;7234,00;11498,00;8081,00;1989,00;208,00;20740,00;961,00;14776,00;16257,00;30;/92
13.02.1992;8676,00;1025,00;350,00;8060,00;1860,00;2644,00;2117,00;6238,00;11462,00;6409,00;356,00;179,00;9708,00;19239,00;9071,00;87,00;9782,00;40164,00;1315,00;42025,00;350,00;1839,00;8382,00;7214,00;11557,00;8060,00;1984,00;208,00;20704,00;959,00;14747,00;16193,00;31;/92
14.02.1992;8754,00;1026,00;351,00;8049,00;1862,00;2646,00;2119,00;6242,00;11476,00;6413,00;357,00;180,00;9718,00;19259,00;9094,00;86,00;9768,00;40205,00;1316,00;42175,00;351,00;1841,00;8380,00;7218,00;11569,00;8049,00;1987,00;206,00;20729,00;960,00;14750,00;16157,00;32;/92
17.02.1992;8796,00;1021,00;349,00;8001,00;1855,00;2636,00;2112,00;6221,00;11435,00;6388,00;360,00;181,00;9784,00;19177,00;9139,00;86,00;9822,00;40481,00;1325,00;42465,00;349,00;1833,00;8345,00;7188,00;11648,00;8001,00;1981,00;206,00;20671,00;957,00;14700,00;16266,00;33;/92
18.02.1992;8803,00;1021,00;349,00;7981,00;1856,00;2633,00;2111,00;6235,00;11462,00;6387,00;361,00;182,00;9803,00;19211,00;9184,00;85,00;9815,00;40560,00;1328,00;42547,00;349,00;1834,00;8351,00;7186,00;11671,00;7981,00;1981,00;205,00;20696,00;958,00;14706,00;16223,00;34;/92
19.02.1992;8859,00;1016,00;348,00;7914,00;1846,00;2619,00;2102,00;6197,00;11415,00;6355,00;363,00;183,00;9884,00;19127,00;9206,00;87,00;9889,00;40895,00;1339,00;42899,00;348,00;1826,00;8313,00;7148,00;11767,00;7614,00;1971,00;206,00;20622,00;953,00;14627,00;16357,00;35;/92
20.02.1992;8897,00;1016,00;348,00;7926,00;1845,00;2616,00;2103,00;6209,00;11429,00;6357,00;354,00;183,00;9893,00;19125,00;9176,00;86,00;9906,00;40929,00;1340,00;42935,00;348,00;1826,00;8325,00;7153,00;11777,00;7926,00;1972,00;204,00;20636,00;953,00;14639,00;16264,00;36;/92
21.02.1992;8935,00;1015,00;347,00;7893,00;1843,00;2611,00;2102,00;6199,00;11419,00;6348,00;358,00;184,00;9929,00;19090,00;9180,00;85,00;9965,00;41080,00;1345,00;43093,00;347,00;1825,00;8313,00;7141,00;11820,00;7893,00;1970,00;205,00;20611,00;953,00;14629,00;16311,00;37;/92
24.02.1992;8915,00;1016,00;348,00;7913,00;1845,00;2614,00;2103,00;6203,00;11412,00;6356,00;359,00;184,00;9932,00;19091,00;9170,00;85,00;9990,00;41090,00;1345,00;43103,00;348,00;1826,00;8316,00;7150,00;11823,00;7913,00;1972,00;204,00;20623,00;952,00;14644,00;16274,00;38;/92
25.02.1992;8869,00;1016,00;348,00;7890,00;1845,00;2611,00;2103,00;6206,00;11415,00;6353,00;361,00;184,00;9956,00;19077,00;9156,00;85,00;9973,00;41193,00;1185,00;43211,00;348,00;1825,00;8320,00;7148,00;11853,00;7890,00;1973,00;204,00;20606,00;953,00;14640,00;16317,00;39;/92
26.02.1992;9945,00;1140,00;390,00;8870,00;2071,00;2934,00;2360,00;6962,00;12799,00;7133,00;406,00;206,00;11120,00;21400,00;10227,00;95,00;11155,00;46007,00;1226,00;48262,00;390,00;2048,00;9325,00;8025,00;13238,00;8870,00;2214,00;227,00;23111,00;1069,00;16443,00;18187,00;40;/92
27.02.1992;9929,00;1139,00;390,00;8828,00;2068,00;2944,00;2358,00;6953,00;12792,00;7123,00;408,00;207,00;11159,00;21385,00;10231,00;96,00;11244,00;46168,00;1181,00;48430,00;390,00;2046,00;9329,00;8015,00;13284,00;8828,00;2213,00;228,00;23107,00;1068,00;16401,00;18288,00;41;/92
28.02.1992;9947,00;1147,00;392,00;8885,00;2080,00;2949,00;2374,00;6999,00;12861,00;7171,00;405,00;200,00;11088,00;21527,00;10231,00;95,00;11182,00;45875,00;1228,00;47397,00;392,00;2059,00;9384,00;8069,00;13200,00;8885,00;2226,00;225,00;23252,00;1075,00;16525,00;18130,00;42;/92
2.03.1992;9977,00;1147,00;392,00;8884,00;2083,00;2949,00;2375,00;6986,00;12857,00;7172,00;406,00;200,00;11104,00;21543,00;10226,00;95,00;11202,00;45940,00;1235,00;47465,00;392,00;2059,00;9379,00;8071,00;13219,00;8884,00;2226,00;226,00;23269,00;1075,00;16515,00;18271,00;43;/92
3.03.1992;9978,00;1149,00;393,00;8908,00;2086,00;2956,00;2379,00;6994,00;12840,00;7185,00;398,00;200,00;11107,00;21588,00;10224,00;96,00;11168,00;45953,00;1202,00;47477,00;393,00;2062,00;9387,00;8086,00;13222,00;8908,00;2229,00;225,00;23230,00;1077,00;16528,00;18258,00;44;/92
4.03.1992;10020,00;1143,00;391,00;8860,00;2076,00;2945,00;2368,00;6975,00;12808,00;7150,00;386,00;202,00;11190,00;21490,00;10186,00;96,00;11183,00;46298,00;1139,00;47834,00;391,00;2053,00;9357,00;8045,00;13322,00;8860,00;2219,00;226,00;23172,00;1073,00;16465,00;18398,00;45;/92
5.03.1992;10036,00;1142,00;391,00;8827,00;2075,00;2948,00;2367,00;6979,00;12796,00;7144,00;387,00;202,00;11226,00;21493,00;10136,00;96,00;11215,00;46446,00;1128,00;47987,00;391,00;2052,00;9356,00;8038,00;13364,00;8827,00;2219,00;225,00;23158,00;1073,00;16465,00;18335,00;46;/92
6.03.1992;10111,00;1141,00;390,00;8802,00;2070,00;2941,00;2362,00;6968,00;12751,00;7132,00;386,00;203,00;11280,00;21441,00;10151,00;96,00;11253,00;46669,00;1138,00;48218,00;390,00;2048,00;9333,00;8025,00;13429,00;8802,00;2214,00;225,00;23038,00;1071,00;16424,00;18370,00;47;/92
9.03.1992;10130,00;1144,00;391,00;8861,00;2076,00;2951,00;2368,00;6974,00;12770,00;7152,00;388,00;203,00;11262,00;21499,00;10207,00;95,00;11301,00;46594,00;1136,00;48140,00;391,00;2053,00;9350,00;8046,00;13407,00;8861,00;2219,00;223,00;23068,00;1073,00;16458,00;18278,00;48;/92
10.03.1992;10132,00;1144,00;391,00;8888,00;2076,00;2954,00;2370,00;6986,00;12775,00;7155,00;388,00;203,00;11272,00;21494,00;10167,00;95,00;11264,00;46634,00;1147,00;48181,00;391,00;2054,00;9362,00;8049,00;13418,00;8888,00;2220,00;223,00;23096,00;1074,00;16462,00;18344,00;49;/92
11.03.1992;10150,00;1146,00;392,00;8918,00;2079,00;2958,00;2374,00;7000,00;12788,00;7167,00;389,00;203,00;11267,00;21522,00;10124,00;96,00;11224,00;46613,00;1151,00;48160,00;392,00;2057,00;9370,00;8063,00;13413,00;8918,00;2224,00;222,00;23133,00;1076,00;16504,00;18316,00;50;/92
12.03.1992;10193,00;1143,00;391,00;8871,00;2074,00;2947,00;2368,00;6982,00;12774,00;7146,00;390,00;204,00;11329,00;21466,00;10049,00;95,00;11277,00;46873,00;1163,00;48428,00;391,00;2052,00;9350,00;8039,00;13487,00;8871,00;2218,00;223,00;23079,00;1073,00;16456,00;18428,00;51;/92
13.03.1992;11184,00;1146,00;392,00;8902,00;2079,00;2952,00;2374,00;7007,00;12788,00;7166,00;386,00;202,00;11315,00;21504,00;10043,00;95,00;11282,00;46814,00;1166,00;47581,00;392,00;2057,00;9369,00;8063,00;13470,00;8902,00;2224,00;222,00;23085,00;1076,00;16528,00;18299,00;52;/92
16.03.1992;10169,00;1147,00;392,00;8931,00;2082,00;2959,00;2379,00;7004,00;12771,00;7175,00;386,00;202,00;11319,00;21540,00;10091,00;95,00;11244,00;46832,00;1177,00;47599,00;392,00;2059,00;9373,00;8073,00;13475,00;8931,00;2227,00;221,00;23074,00;1077,00;16514,00;18334,00;53;/92
17.03.1992;10177,00;1149,00;393,00;8935,00;2084,00;2964,00;2381,00;7004,00;12783,00;7184,00;379,00;202,00;11322,00;21555,00;10054,00;95,00;11238,00;46842,00;1177,00;47610,00;393,00;2061,00;9387,00;8085,00;13478,00;8935,00;2229,00;221,00;23099,00;1075,00;16524,00;18360,00;54;/92
18.03.1992;10163,00;1153,00;394,00;8957,00;2089,00;2971,00;2389,00;7017,00;12839,00;7208,00;379,00;202,00;11290,00;21637,00;10055,00;95,00;11224,00;46712,00;1174,00;47478,00;394,00;2067,00;9414,00;8116,00;13441,00;8957,00;2237,00;220,00;23202,00;1078,00;16584,00;18300,00;55;/92
19.03.1992;10217,00;1156,00;395,00;8984,00;2095,00;2981,00;2396,00;7033,00;12871,00;7223,00;378,00;202,00;11277,00;21689,00;10141,00;96,00;11249,00;46658,00;1143,00;47423,00;395,00;2071,00;9445,00;8136,00;13425,00;8984,00;2243,00;220,00;23243,00;1081,00;16622,00;18333,00;56;/92
20.03.1992;10247,00;1153,00;394,00;8965,00;2089,00;2975,00;2390,00;7003,00;12838,00;7205,00;379,00;203,00;11333,00;21617,00;10172,00;96,00;11307,00;46887,00;1158,00;47655,00;394,00;2066,00;9405,00;8115,00;13491,00;8965,00;2234,00;220,00;23185,00;1078,00;16558,00;18484,00;57;/92
23.03.1992;10299,00;1150,00;393,00;8929,00;2085,00;2971,00;2385,00;6990,00;12830,00;7189,00;378,00;204,00;11385,00;21580,00;10110,00;96,00;11326,00;47105,00;1144,00;47877,00;393,00;2061,00;9390,00;8094,00;13554,00;8929,00;2231,00;220,00;23165,00;1077,00;16552,00;18504,00;58;/92
