;;W A L U T A  /  C U R R E N C Y;;;;;;;;;;;;;;;;;;;;;
Nr / No.;Data / Date;100 USD;100 DEM;100 GBP;100 CHF;100 FRF;100 XEU;100 XDR;100 AUD;100 ATS;10000 BEF;100 DKK;100 FIM;10000 ESP;100 NLG;100 IEP;10000 JPY;100 CAD;100 NOK;10000PTE;100 SEK;10000 ITL;10000 LUF
1;1.01.1995;243,0100;156,9000;379,8300;185,4600;45,4700;297,8100;353,7800;188,6500;22,3000;763,3500;39,9500;51,3200;184,5200;140,1100;376,0100;243,8000;173,0600;35,9400;152,7100;32,5700;14,9700;763,3500
2;3.01.1995;243,6400;156,6600;380,4500;185,4600;45,4200;297,7400;355,6800;188,9400;22,2700;762,3500;39,8600;51,1300;184,3300;139,8800;376,6300;243,2200;173,9700;35,8800;152,5100;32,5500;14,9500;762,3500
3;4.01.1995;244,0000;156,5900;381,1900;185,3600;45,4300;298,0400;356,2100;187,6900;22,2600;761,9300;39,8700;51,2100;184,7200;139,8200;376,7800;243,5000;174,5100;35,8900;152,6100;32,6700;15,0300;761,9300
4;5.01.1995;244,3300;156,5800;381,1700;185,6400;45,4200;298,4000;355,6500;188,1500;22,2600;761,8700;39,8600;51,3200;184,4200;139,7900;377,0000;241,2600;173,7700;35,8900;152,5900;32,7500;15,0100;761,8700
5;6.01.1995;244,1300;156,8500;381,0400;186,6700;45,5200;298,7800;354,4800;187,8600;22,2900;762,6300;39,9400;51,3500;183,9800;139,9500;376,8000;241,7800;173,8300;35,9600;152,6400;32,7900;15,0400;762,6300
6;9.01.1995;243,8500;157,2300;381,3700;187,0300;45,5600;299,0600;354,4900;186,7700;22,3500;763,8300;40,0000;51,2600;183,6800;140,2700;377,0700;241,3500;173,8700;36,0300;152,7000;32,5100;15,0400;763,8300
7;10.01.1995;244,6700;157,0200;380,1000;187,2300;45,4700;298,4900;356,0900;187,0900;22,3200;763,0000;39,9400;50,9700;183,2100;140,0900;375,7800;242,6300;174,3700;35,9900;152,7300;32,5300;15,0200;763,0000
8;11.01.1995;243,1500;158,1600;379,7400;188,7800;45,7500;299,7400;353,2100;185,8900;22,4800;767,7700;40,1400;50,9300;181,4400;141,0600;375,9300;242,2600;172,6400;36,1300;153,1000;32,4600;14,9700;767,7700
9;12.01.1995;243,1700;158,3100;380,0100;188,9400;45,8600;299,6500;355,2500;186,8800;22,5000;768,6400;40,2000;51,4000;182,0800;141,1500;376,0100;243,4100;172,2300;36,1400;153,5200;32,4800;14,9600;768,6400
10;13.01.1995;243,5200;158,4100;379,3800;188,7600;45,8400;300,0900;356,1800;187,2100;22,5100;769,2300;40,1500;51,3100;181,7600;141,2700;375,2800;244,1200;171,8400;36,1500;153,5000;32,4600;14,9900;769,2300
11;16.01.1995;243,1500;158,6800;381,7700;189,0300;45,8700;300,1100;355,6900;184,7400;22,5500;769,6400;40,2600;51,4400;182,4900;141,5100;377,3300;246,6600;171,1400;36,2500;153,6100;32,5300;14,9900;769,6400
12;17.01.1995;243,6300;158,5600;382,4700;188,6400;45,8700;300,7800;357,9700;185,0300;22,5400;769,8200;40,2600;51,3800;182,3500;141,3800;377,6100;246,9800;172,6300;36,2800;153,4100;32,6100;15,2000;769,8200
13;18.01.1995;243,3300;159,0000;381,4500;189,4900;45,9900;301,4100;357,5200;184,5100;22,6000;771,7300;40,3600;51,5000;183,0100;141,7800;377,2000;246,5300;171,0000;36,3800;153,9400;32,6900;15,1900;771,7300
14;19.01.1995;243,0800;159,2700;383,0400;189,5500;46,0500;301,0300;357,0000;184,8500;22,6400;772,5900;40,3900;51,5200;183,0000;142,0300;379,4000;245,1500;170,8200;36,3900;154,2200;32,7200;15,0500;772,5900
15;20.01.1995;244,0700;158,9400;382,9700;188,5600;46,0100;301,3500;358,5500;186,6200;22,5900;771,7100;40,3700;51,5000;182,9400;141,7800;379,4000;244,6100;172,0000;36,3600;154,0600;32,5700;15,1100;771,7100
16;23.01.1995;242,3700;160,0500;384,0400;190,6100;46,2100;302,5000;354,8000;186,4200;22,7500;776,3300;40,5700;51,7600;183,6300;142,7300;380,4200;244,0100;170,1000;36,5700;154,9300;32,5500;15,1600;776,3300
17;24.01.1995;242,5000;160,1200;384,6700;190,7900;46,2500;303,0800;357,1400;186,5400;22,7600;776,6600;40,5900;51,6700;183,8100;142,7900;381,1600;242,1300;170,7800;36,6100;154,9600;32,5300;15,2800;776,6600
18;25.01.1995;242,1700;160,3000;387,5400;190,9700;46,3100;303,2800;356,0300;186,5600;22,7900;777,4300;40,6500;51,7100;183,6400;142,9300;383,3000;243,8500;170,9200;36,6500;155,0100;32,6000;15,2900;777,4300
19;26.01.1995;242,1100;160,6000;387,0600;191,2400;46,3800;304,0000;356,9900;185,4000;22,8300;778,4200;40,7100;51,6500;184,1500;143,2300;383,0200;243,5700;170,6900;36,6800;155,3000;32,5000;15,2700;778,4200
