;;W a l u t a / C u r r e n c y;;;;;;;;;;;;;;;;;;;;;;;;
Nr / No.;Data / Date;1 USD;1 EUR;1 AUD;1 ATS;100 BEF;1 CZK;1 DKK;1 FIM;1 FRF;100 GRD;100 ESP;1 NLG;1 IEP;100 JPY;1 CAD;100 LUF;1 NOK;100 PTE;1 DEM;1 CHF;1 SEK;100 HUF;1 GBP;100 ITL;1 XDR
1;1.01.1999;3,5025;4,0925;2,1454;0,2974;10,1450;0,1169;0,5481;0,6883;0,6239;1,2514;2,4596;1,8571;5,1964;3,0929;2,2876;10,1450;0,4613;2,0413;2,0925;2,5531;0,4315;1,6213;5,7586;0,2114;4,9315
2;4.01.1999;3,4500;4,0670;2,1281;0,2956;10,0818;0,1159;0,5458;0,6840;0,6200;1,2450;2,4443;1,8455;5,1640;3,0404;2,2585;10,0818;0,4592;2,0286;2,0794;2,5156;0,4292;1,6189;5,7185;0,2100;4,8569
3;5.01.1999;3,4130;4,0240;2,1239;0,2924;9,9752;0,1149;0,5400;0,6768;0,6135;1,2398;2,4185;1,8260;5,1094;3,0581;2,2393;9,9752;0,4583;2,0072;2,0574;2,4948;0,4279;1,6049;5,6493;0,2078;4,8132
4;6.01.1999;3,4140;4,0100;2,1319;0,2914;9,9405;0,1150;0,5384;0,6744;0,6113;1,2340;2,4101;1,8197;5,0916;3,0493;2,2642;9,9405;0,4590;2,0002;2,0503;2,4871;0,4307;1,5988;5,6664;0,2071;4,8326
5;7.01.1999;3,4550;4,0195;2,1702;0,2921;9,9641;0,1151;0,5400;0,6760;0,6128;1,2392;2,4158;1,8240;5,1037;3,1087;2,2804;9,9641;0,4658;2,0049;2,0551;2,4862;0,4379;1,6070;5,6962;0,2076;4,8390
6;8.01.1999;3,4640;4,0380;2,1952;0,2935;10,0099;0,1156;0,5425;0,6791;0,6156;1,2471;2,4269;1,8324;5,1272;3,1026;2,2891;10,0099;0,4702;2,0141;2,0646;2,5021;0,4407;1,6147;5,6925;0,2085;4,8970
7;11.01.1999;3,4880;4,0370;2,2276;0,2934;10,0075;0,1148;0,5421;0,6790;0,6154;1,2493;2,4263;1,8319;5,1259;3,1929;2,3117;10,0075;0,4714;2,0136;2,0641;2,5058;0,4433;1,6177;5,7311;0,2085;4,8741
8;12.01.1999;3,5040;4,0340;2,2283;0,2932;10,0000;0,1143;0,5419;0,6785;0,6150;1,2419;2,4245;1,8305;5,1221;3,1123;2,3192;10,0000;0,4687;2,0122;2,0626;2,5097;0,4435;1,6187;5,7086;0,2083;4,9247
9;13.01.1999;3,5860;4,2100;2,2598;0,3060;10,4363;0,1167;0,5656;0,7081;0,6418;1,2942;2,5303;1,9104;5,3456;3,1979;2,3233;10,4363;0,4814;2,0999;2,1525;2,6442;0,4606;1,6511;5,9434;0,2174;5,1133
10;14.01.1999;3,5440;4,1300;2,2491;0,3001;10,2380;0,1157;0,5548;0,6946;0,6296;1,2709;2,4822;1,8741;5,2440;3,1112;2,3328;10,2380;0,4734;2,0600;2,1116;2,5914;0,4524;1,6275;5,8519;0,2133;4,9567
11;15.01.1999;3,5700;4,1500;2,2595;0,3016;10,2876;0,1161;0,5575;0,6980;0,6327;1,2774;2,4942;1,8832;5,2694;3,1503;2,3303;10,2876;0,4761;2,0700;2,1219;2,5947;0,4541;1,6381;5,8961;0,2143;5,0005
12;18.01.1999;3,5050;4,0700;2,2233;0,2958;10,0893;0,1143;0,5468;0,6845;0,6205;1,2583;2,4461;1,8469;5,1678;3,0619;2,2976;10,0893;0,4701;2,0301;2,0810;2,5420;0,4475;1,6235;5,8031;0,2102;4,9265
13;19.01.1999;3,5330;4,1030;2,2427;0,2982;10,1711;0,1148;0,5516;0,6901;0,6255;1,2689;2,4660;1,8619;5,2097;3,1066;2,3102;10,1711;0,4754;2,0466;2,0978;2,5671;0,4557;1,6373;5,8618;0,2119;4,9665
14;20.01.1999;3,5280;4,0840;2,2644;0,2968;10,1240;0,1141;0,5491;0,6869;0,6226;1,2666;2,4545;1,8532;5,1856;3,1022;2,3166;10,1240;0,4751;2,0371;2,0881;2,5451;0,4557;1,6340;5,8239;0,2109;4,9376
