KURS ŚREDNI;1 USD;1 EUR;1 AUD;1 ATS;100 BEF;1 CZK;1 DKK;1 EEK;1 FIM;1 FRF;100 GRD;100 ESP;1 NLG;1 IEP;100 JPY;1 CAD;100 LUF;1 NOK;100 PTE;1 DEM;1 CHF;1 SEK;100 HUF;1 GBP;100 ITL;1 XDR;NR TAB
29.12.2000;4,1432;3,8544;2,2992;0,2801;9,5548;0,1099;0,5165;0,2464;0,6483;0,5876;1,1311;2,3165;1,7491;4,8941;3,6041;2,7589;9,5548;0,4665;1,9226;1,9707;2,5309;0,4355;1,4545;6,1903;0,1991;5,4063;252/A/NBP/2000
2.01.2001;4,0961;3,8741;2,2888;0,2815;9,6036;0,1103;0,5192;0,2476;0,6516;0,5906;1,1369;2,3284;1,7580;4,9191;3,5639;2,7365;9,6036;0,4659;1,9324;1,9808;2,5445;0,4353;1,4642;6,1135;0,2001;5,4246;1/A/NBP/2001
3.01.2001;4,0727;3,8881;2,3011;0,2826;9,6383;0,1103;0,5211;0,2485;0,6539;0,5927;1,1410;2,3368;1,7643;4,9369;3,5534;2,7320;9,6383;0,4676;1,9394;1,9880;2,5540;0,4347;1,4687;6,1278;0,2008;5,4012;2/A/NBP/2001
4.01.2001;4,1212;3,9035;2,3265;0,2837;9,6765;0,1111;0,5233;0,2493;0,6565;0,5951;1,1456;2,3461;1,7713;4,9564;3,6052;2,7543;9,6765;0,4711;1,9471;1,9958;2,5655;0,4384;1,4737;6,1877;0,2016;5,3876;3/A/NBP/2001
5.01.2001;4,0846;3,8969;2,3274;0,2832;9,6602;0,1106;0,5221;0,2493;0,6554;0,5941;1,1436;2,3421;1,7683;4,9480;3,5126;2,7206;9,6602;0,4694;1,9438;1,9925;2,5497;0,4370;1,4716;6,1480;0,2013;5,4029;4/A/NBP/2001
8.01.2001;4,0991;3,9029;2,3230;0,2836;9,6750;0,1109;0,5229;0,2495;0,6564;0,5950;1,1454;2,3457;1,7711;4,9557;3,5244;2,7359;9,6750;0,4710;1,9468;1,9955;2,5523;0,4375;1,4732;6,1575;0,2016;5,3625;5/A/NBP/2001
9.01.2001;4,1182;3,8774;2,3161;0,2818;9,6118;0,1104;0,5195;0,2478;0,6521;0,5911;1,1379;2,3304;1,7595;4,9233;3,5559;2,7542;9,6118;0,4687;1,9340;1,9825;2,5466;0,4351;1,4635;6,1376;0,2003;5,3274;6/A/NBP/2001
10.01.2001;4,1578;3,9097;2,3170;0,2841;9,6919;0,1117;0,5237;0,2498;0,6576;0,5960;1,1474;2,3498;1,7741;4,9643;3,5716;2,7759;9,6919;0,4765;1,9502;1,9990;2,5665;0,4375;1,4739;6,1892;0,2019;5,4289;7/A/NBP/2001
11.01.2001;4,1523;3,9189;2,3097;0,2848;9,7147;0,1112;0,5249;0,2505;0,6591;0,5974;1,1501;2,3553;1,7783;4,9760;3,5476;2,7648;9,7147;0,4776;1,9547;2,0037;2,5630;0,4417;1,4788;6,1886;0,2024;5,4322;8/A/NBP/2001
12.01.2001;4,1114;3,9172;2,3036;0,2847;9,7105;0,1108;0,5246;0,2504;0,6588;0,5972;1,1496;2,3543;1,7775;4,9738;3,4950;2,7551;9,7105;0,4786;1,9539;2,0028;2,5477;0,4424;1,4780;6,1601;0,2023;5,3834;9/A/NBP/2001
15.01.2001;4,1087;3,8806;2,2670;0,2820;9,6198;0,1101;0,5198;0,2480;0,6527;0,5916;1,1388;2,3323;1,7609;4,9273;3,4477;2,7307;9,6198;0,4720;1,9356;1,9841;2,5120;0,4386;1,4641;6,0710;0,2004;5,3175;10/A/NBP/2001
16.01.2001;4,1016;3,8626;2,2769;0,2807;9,5751;0,1094;0,5174;0,2468;0,6496;0,5888;1,1336;2,3215;1,7528;4,9045;3,4631;2,7247;9,5751;0,4703;1,9267;1,9749;2,5101;0,4340;1,4579;6,0273;0,1995;5,2928;11/A/NBP/2001
17.01.2001;4,1004;3,8492;2,2678;0,2797;9,5419;0,1081;0,5156;0,2460;0,6474;0,5868;1,1296;2,3134;1,7467;4,8875;3,4886;2,7207;9,5419;0,4678;1,9200;1,9681;2,5028;0,4310;1,4517;6,0361;0,1988;5,3183;12/A/NBP/2001
18.01.2001;4,1125;3,8561;2,2813;0,2802;9,5590;0,1092;0,5164;0,2464;0,6485;0,5879;1,1317;2,3176;1,7498;4,8962;3,4567;2,7214;9,5590;0,4701;1,9234;1,9716;2,5223;0,4329;1,4545;6,0512;0,1992;5,3341;13/A/NBP/2001
19.01.2001;4,0820;3,8533;2,2871;0,2800;9,5521;0,1092;0,5161;0,2464;0,6481;0,5874;1,1308;2,3159;1,7486;4,8927;3,4661;2,7034;9,5521;0,4683;1,9220;1,9702;2,5243;0,4327;1,4533;6,0175;0,1990;5,3259;14/A/NBP/2001
22.01.2001;4,1318;3,8442;2,2919;0,2794;9,5295;0,1091;0,5149;0,2457;0,6465;0,5860;1,1282;2,3104;1,7444;4,8811;3,5516;2,7367;9,5295;0,4685;1,9175;1,9655;2,5067;0,4322;1,4510;6,0377;0,1985;5,3214;15/A/NBP/2001
23.01.2001;4,0960;3,8584;2,2751;0,2804;9,5647;0,1095;0,5168;0,2466;0,6489;0,5882;1,1323;2,3189;1,7509;4,8992;3,4989;2,7232;9,5647;0,4670;1,9246;1,9728;2,5157;0,4303;1,4562;6,0273;0,1993;5,3869;16/A/NBP/2001
24.01.2001;4,1095;3,8330;2,2604;0,2786;9,5018;0,1097;0,5134;0,2450;0,6447;0,5843;1,1249;2,3037;1,7393;4,8669;3,5043;2,7207;9,5018;0,4645;1,9119;1,9598;2,5060;0,4306;1,4463;6,0182;0,1980;5,3050;17/A/NBP/2001
25.01.2001;4,1449;3,8105;2,2613;0,2769;9,4460;0,1093;0,5106;0,2436;0,6409;0,5809;1,1183;2,2902;1,7291;4,8383;3,5356;2,7449;9,4460;0,4634;1,9007;1,9483;2,4973;0,4273;1,4375;6,0436;0,1968;5,3116;18/A/NBP/2001
26.01.2001;4,1244;3,8265;2,2342;0,2781;9,4856;0,1099;0,5129;0,2445;0,6436;0,5833;1,1230;2,2998;1,7364;4,8587;3,5323;2,7391;9,4856;0,4653;1,9087;1,9565;2,5080;0,4298;1,4433;6,0398;0,1976;5,3890;19/A/NBP/2001
29.01.2001;4,1380;3,8170;2,2479;0,2774;9,4621;0,1096;0,5115;0,2439;0,6420;0,5819;1,1202;2,2941;1,7321;4,8466;3,5615;2,7528;9,4621;0,4658;1,9039;1,9516;2,5043;0,4308;1,4395;6,0472;0,1971;5,3597;20/A/NBP/2001
30.01.2001;4,1358;3,7854;2,2386;0,2751;9,3838;0,1092;0,5074;0,2418;0,6367;0,5771;1,1109;2,2751;1,7177;4,8065;3,5512;2,7540;9,3838;0,4623;1,8881;1,9354;2,4933;0,4289;1,4276;6,0335;0,1955;5,3193;21/A/NBP/2001
31.01.2001;4,0879;3,8015;2,2320;0,2763;9,4237;0,1096;0,5095;0,2429;0,6394;0,5795;1,1156;2,2847;1,7250;4,8269;3,5093;2,7176;9,4237;0,4640;1,8962;1,9437;2,4885;0,4295;1,4335;5,9702;0,1963;5,3375;22/A/NBP/2001
1.02.2001;4,0644;3,8336;2,2437;0,2786;9,5032;0,1100;0,5137;0,2450;0,6448;0,5844;1,1250;2,3040;1,7396;4,8677;3,4938;2,7145;9,5032;0,4664;1,9122;1,9601;2,4985;0,4310;1,4452;5,9891;0,1980;5,3537;23/A/NBP/2001
2.02.2001;4,0205;3,7795;2,2326;0,2747;9,3691;0,1086;0,5064;0,2416;0,6357;0,5762;1,1092;2,2715;1,7151;4,7990;3,4903;2,6922;9,3691;0,4605;1,8852;1,9324;2,4645;0,4243;1,4247;5,9501;0,1952;5,2781;24/A/NBP/2001
5.02.2001;4,0315;3,7915;2,2251;0,2755;9,3989;0,1088;0,5080;0,2423;0,6377;0,5780;1,1127;2,2787;1,7205;4,8142;3,4831;2,6909;9,3989;0,4622;1,8912;1,9386;2,4619;0,4241;1,4290;5,9493;0,1958;5,2617;25/A/NBP/2001
6.02.2001;4,0630;3,8051;2,2351;0,2765;9,4326;0,1097;0,5098;0,2433;0,6400;0,5801;1,1167;2,2869;1,7267;4,8315;3,5507;2,6962;9,4326;0,4649;1,8980;1,9455;2,4762;0,4267;1,4343;5,9725;0,1965;5,2680;26/A/NBP/2001
7.02.2001;4,0816;3,7917;2,2301;0,2756;9,3994;0,1094;0,5081;0,2424;0,6377;0,5780;1,1128;2,2789;1,7206;4,8145;3,5244;2,7004;9,3994;0,4639;1,8913;1,9387;2,4646;0,4262;1,4287;5,9492;0,1958;5,2980;27/A/NBP/2001
8.02.2001;4,0790;3,7798;2,2127;0,2747;9,3699;0,1092;0,5065;0,2416;0,6357;0,5762;1,1093;2,2717;1,7152;4,7994;3,5074;2,6987;9,3699;0,4626;1,8854;1,9326;2,4647;0,4261;1,4239;5,9319;0,1952;5,2653;28/A/NBP/2001
9.02.2001;4,1287;3,7956;2,2100;0,2758;9,4090;0,1096;0,5088;0,2427;0,6384;0,5786;1,1139;2,2812;1,7224;4,8194;3,5169;2,7330;9,4090;0,4648;1,8932;1,9407;2,4730;0,4262;1,4298;5,9511;0,1960;5,2873;29/A/NBP/2001
12.02.2001;4,0960;3,8034;2,2026;0,2764;9,4284;0,1098;0,5097;0,2432;0,6397;0,5798;1,1162;2,2859;1,7259;4,8293;3,4771;2,7067;9,4284;0,4637;1,8971;1,9446;2,4750;0,4247;1,4323;5,9447;0,1964;5,3220;30/A/NBP/2001
13.02.2001;4,0815;3,7913;2,1945;0,2755;9,3984;0,1097;0,5081;0,2423;0,6377;0,5780;1,1126;2,2786;1,7204;4,8140;3,4823;2,6842;9,3984;0,4615;1,8911;1,9385;2,4648;0,4212;1,4270;5,9295;0,1958;5,2792;31/A/NBP/2001
14.02.2001;4,0825;3,7582;2,1670;0,2731;9,3163;0,1089;0,5036;0,2402;0,6321;0,5729;1,1029;2,2587;1,7054;4,7719;3,5037;2,6809;9,3163;0,4570;1,8746;1,9215;2,4478;0,4158;1,4152;5,9390;0,1941;5,2458;32/A/NBP/2001
15.02.2001;4,1039;3,7433;2,1581;0,2720;9,2794;0,1085;0,5016;0,2393;0,6296;0,5707;1,0985;2,2498;1,6986;4,7530;3,5316;2,6861;9,2794;0,4556;1,8672;1,9139;2,4406;0,4155;1,4091;5,9745;0,1933;5,2718;33/A/NBP/2001
16.02.2001;4,1004;3,7342;2,1652;0,2714;9,2568;0,1084;0,5003;0,2387;0,6280;0,5693;1,0959;2,2443;1,6945;4,7415;3,5727;2,6787;9,2568;0,4555;1,8626;1,9093;2,4288;0,4169;1,4060;5,9633;0,1929;5,2868;34/A/NBP/2001
19.02.2001;4,0823;3,7475;2,1588;0,2723;9,2898;0,1081;0,5021;0,2394;0,6303;0,5713;1,0998;2,2523;1,7005;4,7583;3,5186;2,6476;9,2898;0,4578;1,8692;1,9161;2,4387;0,4170;1,4101;5,9169;0,1935;5,3112;35/A/NBP/2001
20.02.2001;4,0985;3,7452;2,1569;0,2722;9,2841;0,1084;0,5019;0,2394;0,6299;0,5710;1,0991;2,2509;1,6995;4,7554;3,5397;2,6677;9,2841;0,4547;1,8681;1,9149;2,4377;0,4164;1,4094;5,9189;0,1934;5,3080;36/A/NBP/2001
21.02.2001;4,1046;3,7560;2,1532;0,2730;9,3109;0,1085;0,5032;0,2400;0,6317;0,5726;1,1023;2,2574;1,7044;4,7691;3,5200;2,6618;9,3109;0,4562;1,8735;1,9204;2,4417;0,4173;1,4134;5,9173;0,1940;5,3289;37/A/NBP/2001
22.02.2001;4,1542;3,7617;2,1670;0,2734;9,3250;0,1083;0,5040;0,2404;0,6327;0,5735;1,1039;2,2608;1,7070;4,7764;3,5742;2,7041;9,3250;0,4567;1,8763;1,9233;2,4574;0,4176;1,4125;5,9857;0,1943;5,3015;38/A/NBP/2001
23.02.2001;4,1451;3,7479;2,1659;0,2724;9,2908;0,1080;0,5022;0,2395;0,6304;0,5714;1,0999;2,2525;1,7007;4,7589;3,5527;2,6952;9,2908;0,4549;1,8694;1,9163;2,4462;0,4144;1,4087;5,9871;0,1936;5,3212;39/A/NBP/2001
26.02.2001;4,1225;3,7572;2,1659;0,2730;9,3139;0,1086;0,5033;0,2401;0,6319;0,5728;1,1026;2,2581;1,7049;4,7707;3,5544;2,6855;9,3139;0,4566;1,8741;1,9210;2,4465;0,4156;1,4116;5,9804;0,1940;5,3249;40/A/NBP/2001
27.02.2001;4,0859;3,7391;2,1440;0,2717;9,2690;0,1081;0,5010;0,2390;0,6289;0,5700;1,0973;2,2472;1,6967;4,7477;3,5153;2,6695;9,2690;0,4545;1,8651;1,9118;2,4328;0,4143;1,4045;5,9023;0,1931;5,2862;41/A/NBP/2001
28.02.2001;4,0749;3,7535;2,1392;0,2728;9,3047;0,1083;0,5028;0,2400;0,6313;0,5722;1,1015;2,2559;1,7033;4,7660;3,4817;2,6656;9,3047;0,4553;1,8722;1,9191;2,4369;0,4142;1,4104;5,8878;0,1939;5,2836;42/A/NBP/2001
1.03.2001;4,0284;3,7277;2,1249;0,2709;9,2407;0,1075;0,4995;0,2382;0,6270;0,5683;1,0940;2,2404;1,6916;4,7332;3,4360;2,6189;9,2407;0,4526;1,8594;1,9059;2,4174;0,4110;1,4003;5,8264;0,1925;5,2097;43/A/NBP/2001
2.03.2001;3,9637;3,7093;2,0901;0,2696;9,1951;0,1066;0,4969;0,2371;0,6239;0,5655;1,0886;2,2293;1,6832;4,7098;3,3508;2,5631;9,1951;0,4509;1,8502;1,8965;2,4114;0,4104;1,3923;5,7994;0,1916;5,1769;44/A/NBP/2001
5.03.2001;3,9972;3,7220;2,0876;0,2705;9,2266;0,1067;0,4985;0,2379;0,6260;0,5674;1,0923;2,2370;1,6890;4,7260;3,3609;2,5887;9,2266;0,4525;1,8565;1,9030;2,4212;0,4104;1,3970;5,8670;0,1922;5,1572;45/A/NBP/2001
6.03.2001;3,9945;3,7005;2,0820;0,2689;9,1733;0,1061;0,4958;0,2365;0,6224;0,5641;1,0860;2,2240;1,6792;4,6987;3,3716;2,5877;9,1733;0,4503;1,8458;1,8920;2,4087;0,4098;1,3898;5,8561;0,1911;5,1274;46/A/NBP/2001
7.03.2001;3,9515;3,6905;2,0272;0,2682;9,1485;0,1057;0,4945;0,2359;0,6207;0,5626;1,0831;2,2180;1,6747;4,6860;3,3000;2,5684;9,1485;0,4493;1,8408;1,8869;2,3992;0,4075;1,3859;5,7917;0,1906;5,1448;47/A/NBP/2001
8.03.2001;3,9837;3,7132;2,0303;0,2698;9,2048;0,1070;0,4976;0,2373;0,6245;0,5661;1,0897;2,2317;1,6850;4,7148;3,3265;2,5669;9,2048;0,4520;1,8521;1,8985;2,4104;0,4106;1,3944;5,8494;0,1918;5,1605;48/A/NBP/2001
9.03.2001;3,9788;3,7253;2,0426;0,2707;9,2348;0,1075;0,4990;0,2382;0,6266;0,5679;1,0933;2,2390;1,6905;4,7302;3,3299;2,5725;9,2348;0,4543;1,8582;1,9047;2,4144;0,4101;1,3993;5,8551;0,1924;5,1763;49/A/NBP/2001
12.03.2001;3,9848;3,7110;2,0349;0,2697;9,1993;0,1072;0,4972;0,2371;0,6241;0,5657;1,0891;2,2304;1,6840;4,7120;3,3051;2,5748;9,1993;0,4522;1,8510;1,8974;2,4075;0,4076;1,3939;5,8409;0,1917;5,1376;50/A/NBP/2001
13.03.2001;4,0555;3,7435;2,0426;0,2721;9,2799;0,1080;0,5015;0,2391;0,6296;0,5707;1,0986;2,2499;1,6987;4,7533;3,3765;2,6108;9,2799;0,4548;1,8672;1,9140;2,4346;0,4075;1,4055;5,9092;0,1933;5,2113;51/A/NBP/2001
14.03.2001;4,0710;3,7202;2,0371;0,2704;9,2221;0,1077;0,4983;0,2378;0,6257;0,5671;1,0918;2,2359;1,6882;4,7237;3,4026;2,6358;9,2221;0,4539;1,8556;1,9021;2,4174;0,4066;1,3959;5,9065;0,1921;5,2065;52/A/NBP/2001
15.03.2001;4,0918;3,7290;2,0302;0,2710;9,2439;0,1079;0,4995;0,2383;0,6272;0,5685;1,0944;2,2412;1,6921;4,7349;3,3931;2,6335;9,2439;0,4554;1,8600;1,9066;2,4234;0,4074;1,3991;5,9308;0,1926;5,2215;53/A/NBP/2001
