KURS ŚREDNI;1 USD;1 EUR;1 AUD;1 CYP;1 CZK;1 DKK;1 EEK;1 HKD;100 JPY;1 CAD;1 LTL;1 LVL ;1 MTL;1 NOK;1 ZAR;1 RUB;1 SKK;100 SIT;1 CHF;1 SEK;1 UAH;100 HUF;1 GBP;1 XDR;NR TAB;
31.12.2003;3,7405;4,7170;2,8088;8,0522;0,1448;0,6336;0,3014;0,4818;3,4980;2,8964;1,3664;7,0146;10,9228;0,5604;0,5652;0,1278;0,1145;1,9916;3,0281;0,5192;0,7013;1,7983;6,6686;5,5891;253;/A/NBP/2003
2.01.2004;3,7327;4,7089;2,8139;8,0316;0,1454;0,6325;0,3010;0,4805;3,4898;2,8854;1,3639;7,0047;10,9078;0,5607;0,5611;0,1276;0,1145;1,9882;3,0194;0,5198;0,7001;1,7954;6,6746;5,5402;1;/A/NBP/2004
5.01.2004;3,7079;4,6904;2,8436;8,0020;0,1448;0,6298;0,2998;0,4770;3,4655;2,8790;1,3582;6,9663;10,8675;0,5579;0,5753;0,1267;0,1142;1,9799;3,0038;0,5172;0,6974;1,7917;6,6578;5,5184;2;/A/NBP/2004
6.01.2004;3,6707;4,6704;2,8336;7,9666;0,1442;0,6271;0,2985;0,4729;3,4564;2,8691;1,3524;6,9273;10,8287;0,5481;0,5805;0,1255;0,1143;1,9706;2,9838;0,5132;0,6878;1,8005;6,6739;5,5057;3;/A/NBP/2004
7.01.2004;3,6938;4,6808;2,8338;7,9864;0,1445;0,6285;0,2992;0,4760;3,4799;2,8644;1,3555;6,9593;10,8616;0,5473;0,5656;0,1264;0,1146;1,9746;2,9812;0,5144;0,6883;1,7854;6,7103;5,4923;4;/A/NBP/2004
8.01.2004;3,7078;4,6634;2,8405;7,9567;0,1441;0,6262;0,2980;0,4777;3,4937;2,8653;1,3504;6,9619;10,8388;0,5416;0,5567;0,1274;0,1141;1,9671;2,9716;0,5132;0,6951;1,7698;6,7181;5,4903;5;/A/NBP/2004
9.01.2004;3,6845;4,6913;2,8557;8,0049;0,1446;0,6299;0,2998;0,4745;3,4530;2,8743;1,3585;6,9537;10,8897;0,5391;0,5550;0,1271;0,1152;1,9764;2,9947;0,5138;0,6899;1,7411;6,7549;5,5301;6;/A/NBP/2004
12.01.2004;3,6456;4,6977;2,8424;8,0125;0,1441;0,6308;0,3002;0,4696;3,4244;2,8701;1,3604;6,9267;10,8983;0,5439;0,5464;0,1263;0,1155;1,9800;3,0017;0,5143;0,6830;1,7405;6,7666;5,5240;7;/A/NBP/2004
13.01.2004;3,6868;4,7053;2,8755;8,0158;0,1445;0,6317;0,3007;0,4752;3,4651;2,8893;1,3626;6,9749;10,9298;0,5476;0,5367;0,1276;0,1158;1,9824;3,0090;0,5158;0,6900;1,7476;6,7966;5,5173;8;/A/NBP/2004
14.01.2004;3,7363;4,7335;2,8995;8,0735;0,1453;0,6355;0,3025;0,4811;3,5150;2,9269;1,3707;7,0434;11,0081;0,5535;0,5254;0,1294;0,1167;1,9938;3,0306;0,5163;0,6995;1,7752;6,8621;5,5621;9;/A/NBP/2004
15.01.2004;3,7433;4,7339;2,8993;8,0735;0,1452;0,6356;0,3026;0,4822;3,5295;2,8985;1,3709;7,0429;11,0040;0,5555;0,5224;0,1295;0,1161;1,9932;3,0288;0,5161;0,7008;1,7787;6,8360;5,5780;10;/A/NBP/2004
16.01.2004;3,7823;4,7247;2,9021;8,0530;0,1444;0,6343;0,3020;0,4871;3,5703;2,9202;1,3683;7,0809;11,0017;0,5496;0,5042;0,1314;0,1158;1,9885;3,0165;0,5135;0,7089;1,7684;6,8548;5,5803;11;/A/NBP/2004
19.01.2004;3,8165;4,7157;2,8884;8,0384;0,1436;0,6331;0,3014;0,4914;3,5596;2,9284;1,3657;7,0993;10,9821;0,5469;0,5245;0,1325;0,1157;1,9850;3,0039;0,5141;0,7152;1,7809;6,8220;5,6079;12;/A/NBP/2004
20.01.2004;3,7951;4,7358;2,8939;8,0774;0,1445;0,6359;0,3027;0,4886;3,5370;2,9218;1,3716;7,0927;11,0186;0,5499;0,5227;0,1319;0,1163;1,9944;3,0134;0,5168;0,7111;1,7920;6,8343;5,6318;13;/A/NBP/2004
21.01.2004;3,7334;4,7255;2,8882;8,0592;0,1435;0,6345;0,3020;0,4805;3,4964;2,8988;1,3688;7,0278;10,9883;0,5451;0,5245;0,1297;0,1164;1,9897;3,0111;0,5150;0,6998;1,7895;6,8525;5,5908;14;/A/NBP/2004
22.01.2004;3,7033;4,7089;2,8757;8,0302;0,1431;0,6322;0,3010;0,4766;3,4771;2,8553;1,3639;6,9881;10,9458;0,5500;0,5159;0,1290;0,1162;1,9834;3,0029;0,5162;0,6951;1,7867;6,8196;5,5704;15;/A/NBP/2004
23.01.2004;3,6765;4,6925;2,8606;7,9927;0,1421;0,6299;0,2999;0,4734;3,4728;2,8304;1,3589;6,9591;10,9052;0,5449;0,5143;0,1288;0,1159;1,9770;2,9918;0,5136;0,6890;1,7855;6,8086;5,5269;16;/A/NBP/2004
26.01.2004;3,7400;4,7004;2,8926;8,0177;0,1426;0,6310;0,3004;0,4818;3,5224;2,8535;1,3614;7,0244;10,9413;0,5460;0,5164;0,1312;0,1159;1,9804;3,0047;0,5133;0,7001;1,7899;6,8240;5,5544;17;/A/NBP/2004
27.01.2004;3,7910;4,7226;2,9246;8,0618;0,1435;0,6340;0,3018;0,4879;3,5768;2,8899;1,3679;7,0857;10,9917;0,5489;0,5305;0,1329;0,1164;1,9895;3,0132;0,5155;0,7099;1,7997;6,8335;5,5963;18;/A/NBP/2004
28.01.2004;3,7557;4,7364;2,9182;8,0860;0,1434;0,6359;0,3027;0,4837;3,5539;2,8669;1,3715;7,0740;11,0187;0,5503;0,5358;0,1319;0,1165;1,9954;3,0205;0,5188;0,7036;1,7985;6,8768;5,6187;19;/A/NBP/2004
29.01.2004;3,7900;4,7458;2,9289;8,0890;0,1428;0,6371;0,3033;0,4877;3,5781;2,8578;1,3742;7,1157;11,0547;0,5403;0,5422;0,1330;0,1163;1,9992;3,0341;0,5187;0,7108;1,8009;6,9115;5,6299;20;/A/NBP/2004
30.01.2004;3,8478;4,7614;2,9221;8,1266;0,1426;0,6392;0,3043;0,4950;3,6363;2,8940;1,3787;7,1876;11,1092;0,5443;0,5447;0,1350;0,1166;2,0069;3,0494;0,5188;0,7209;1,7961;6,9474;5,6801;21;/A/NBP/2004
2.02.2004;3,8319;4,7743;2,9221;8,1417;0,1436;0,6408;0,3051;0,4929;3,6251;2,8885;1,3825;7,1848;11,1393;0,5470;0,5445;0,1343;0,1169;2,0120;3,0446;0,5167;0,7174;1,8064;6,9866;5,7108;22;/A/NBP/2004
3.02.2004;3,8348;4,8112;2,9274;8,2039;0,1444;0,6458;0,3075;0,4932;3,6397;2,8779;1,3932;7,2127;11,2398;0,5541;0,5536;0,1341;0,1183;2,0279;3,0697;0,5238;0,7189;1,8091;7,0360;5,7353;23;/A/NBP/2004
4.02.2004;3,8094;4,7807;2,9045;8,1631;0,1440;0,6416;0,3055;0,4899;3,6143;2,8451;1,3843;7,1664;11,1464;0,5473;0,5503;0,1336;0,1178;2,0147;3,0473;0,5199;0,7143;1,8057;6,9970;5,6686;24;/A/NBP/2004
5.02.2004;3,8346;4,8257;2,9278;8,2259;0,1452;0,6477;0,3084;0,4932;3,6353;2,8719;1,3974;7,2209;11,2409;0,5525;0,5593;0,1345;0,1189;2,0337;3,0748;0,5262;0,7192;1,8153;7,0325;5,7463;25;/A/NBP/2004
6.02.2004;3,8688;4,8441;2,9502;8,2671;0,1457;0,6502;0,3096;0,4978;3,6284;2,8949;1,4027;7,2642;11,2995;0,5548;0,5472;0,1355;0,1190;2,0412;3,0852;0,5295;0,7251;1,8041;7,0950;5,7441;26;/A/NBP/2004
9.02.2004;3,8034;4,8475;2,9561;8,2609;0,1459;0,6507;0,3098;0,4895;3,5985;2,8674;1,4038;7,2012;11,2798;0,5570;0,5434;0,1334;0,1192;2,0419;3,0889;0,5309;0,7235;1,8133;7,0658;5,7559;27;/A/NBP/2004
10.02.2004;3,7801;4,8298;2,9572;8,2328;0,1455;0,6482;0,3087;0,4866;3,5871;2,8567;1,3986;7,1733;11,2452;0,5503;0,5489;0,1327;0,1194;2,0348;3,0805;0,5287;0,7097;1,8250;7,0647;5,7019;28;/A/NBP/2004
