data;1 USD;1 AUD;1 HKD;1 CAD;1 EUR;100 HUF;1 CHF;1 CYP;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;1 EEK;1 NOK;1 SKK;1 SEK;1 MTL;1 LTL;1 LVL;1 ZAR;1 RUB;100 SIT;1 XDR;;Nr tabeli;
;dolar amerykanski;dolar australijski;dolar Hongkongu;dolar kanadyjski;euro;forint wegierski;frank szwajcarski;funt cypryjski;funt szterling;hrywna ukrainska;jen japonski;korona czeska;korona dunska;korona estonska;korona norweska;korona slowacka;korona szwedzka;lira maltanska;lit litewski;lat lotewski;rand RPA;rubel rosyjski;tolar slowenski;SDR (MFW);;;
30.12.2005;3,2613;2,3940;0,4206;2,8093;3,8598;1,5271;2,4788;6,7338;5,6253;0,6465;2,7790;0,1329;0,5174;0,2467;0,4829;0,1020;0,4097;8,9930;1,1179;5,5445;0,5147;0,1135;1,6116;4,6647;;252;/A/NBP/2005
2.01.2006;3,2582;2,3905;0,4202;2,8022;3,8610;1,5277;2,4834;6,7335;5,6164;0,6457;2,7661;0,1330;0,5175;0,2468;0,4839;0,1020;0,4103;8,9916;1,1182;5,5470;0,5145;0,1133;1,6121;4,6778;;1;/A/NBP/2006
3.01.2006;3,2488;2,3901;0,4190;2,8000;3,8618;1,5314;2,4868;6,7373;5,6270;0,6438;2,7751;0,1331;0,5176;0,2468;0,4849;0,1022;0,4120;8,9945;1,1185;5,5474;0,5146;0,1130;1,6124;4,6788;;2;/A/NBP/2006
4.01.2006;3,1858;2,3663;0,4110;2,7633;3,8451;1,5312;2,4784;6,7058;5,5925;0,6324;2,7453;0,1325;0,5154;0,2457;0,4841;0,1021;0,4116;8,9577;1,1136;5,5242;0,5160;0,1109;1,6054;4,6387;;3;/A/NBP/2006
5.01.2006;3,1416;2,3452;0,4052;2,7325;3,8008;1,5184;2,4552;6,6291;5,5152;0,6211;2,7038;0,1313;0,5094;0,2429;0,4793;0,1011;0,4067;8,8525;1,1008;5,4605;0,5111;0,1093;1,5868;4,5402;;4;/A/NBP/2006
6.01.2006;3,1507;2,3521;0,4064;2,6984;3,8094;1,5191;2,4644;6,6424;5,5329;0,6237;2,7134;0,1317;0,5106;0,2435;0,4801;0,1013;0,4085;8,8735;1,1033;5,4729;0,5118;0,1098;1,5905;4,5509;;5;/A/NBP/2006
9.01.2006;3,1228;2,3506;0,4029;2,6733;3,7750;1,5100;2,4474;6,5812;5,5178;0,6142;2,7373;0,1308;0,5060;0,2413;0,4760;0,1008;0,4046;8,7954;1,0933;5,4235;0,5118;0,1087;1,5762;4,5100;;6;/A/NBP/2006
10.01.2006;3,1280;2,3526;0,4036;2,6764;3,7790;1,5091;2,4479;6,5905;5,5285;0,6184;2,7349;0,1311;0,5067;0,2415;0,4736;0,1010;0,4046;8,8037;1,0945;5,4292;0,5141;0,1099;1,5780;4,5301;;7;/A/NBP/2006
11.01.2006;3,1353;2,3527;0,4045;2,6880;3,7793;1,5092;2,4420;6,5893;5,5052;0,6157;2,7326;0,1314;0,5067;0,2415;0,4702;0,1009;0,4035;8,8055;1,0946;5,4289;0,5106;0,1101;1,5782;4,5374;;8;/A/NBP/2006
