data;THB;USD;AUD;HKD;CAD;NZD;SGD;EUR;HUF;CHF;GBP;UAH;JPY;CZK;DKK;EEK;ISK;NOK;SKK;SEK;HRK;RON;BGN;TRY;LTL;LVL;PHP;MXN;ZAR;BRL;MYR;RUB;IDR;KRW;CNY;XDR;NR TAB;;z dnia
;bat (Tajlandia);dolar amerykański;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Węgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duńska;korona estońska;korona islandzka;korona norweska;korona słowacka;korona szwedzka;kuna chorwacka;lej rumuński;lew bułgarski;lira turecka;lit litewski;łat łotewski;peso filipińskie;peso meksykańskie;rand (RPA);real brazylijski;ringgit malezyjski;rubel rosyjski;rupia (Indonezja);won (Korea Płd.);yuan renminbi(Chiny);SDR (MFW);;;
;1;1;1;1;1;1;1;1;100;1;1;1;100;1;1;1;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10000;100;1;1;;;
31.12.2007;;2,4350;2,1390;0,3123;2,4854;;;3,5820;1,4188;2,1614;4,8688;0,4814;2,1728;0,1348;0,4803;0,2289;;0,4497;0,1066;0,3805;;0,9979;1,8314;;1,0374;5,1399;;;0,3578;;;0,0995;;;;3,8484;252;/A/NBP/2007;31.12.2007
2.01.2008;0,0731;2,4550;2,1629;0,3142;2,4857;1,8975;1,7053;3,5975;1,4220;2,1737;4,8714;0,4853;2,1995;0,1366;0,4825;0,2299;3,9161;0,4524;0,1072;0,3826;0,4907;1,0028;1,8394;2,0964;1,0419;5,1503;0,0596;0,2253;0,3581;1,3948;0,7440;0,1001;2,6154;0,2621;0,3367;3,8651;1;/A/NBP/2008;2.01.2008
3.01.2008;0,0734;2,4550;2,1634;0,3148;2,4718;1,9039;1,7136;3,6125;1,4267;2,1989;4,8461;0,4857;2,2517;0,1375;0,4846;0,2309;3,9290;0,4551;0,1076;0,3838;0,4920;1,0052;1,8470;2,0947;1,0462;5,1725;0,0599;0,2250;0,3587;1,3899;0,7413;0,1004;2,6089;0,2623;0,3378;3,8822;2;/A/NBP/2008;3.01.2008
4.01.2008;0,0731;2,4529;2,1602;0,3145;2,4793;1,8952;1,7115;3,6075;1,4192;2,2034;4,8488;0,4855;2,2430;0,1379;0,4842;0,2306;3,9824;0,4574;0,1079;0,3854;0,4908;1,0044;1,8445;2,1134;1,0448;5,1639;0,0599;0,2254;0,3579;1,3987;0,7460;0,1003;2,6015;0,2613;0,3372;3,8774;3;/A/NBP/2008;4.01.2008
7.01.2008;0,0736;2,4511;2,1441;0,3142;2,4374;1,8783;1,7068;3,6010;1,4145;2,1970;4,8358;0,4854;2,2414;0,1379;0,4833;0,2301;3,9654;0,4580;0,1080;0,3841;0,4899;1,0026;1,8411;2,0924;1,0429;5,1546;0,0598;0,2243;0,3544;1,3990;0,7423;0,1001;2,5927;0,2606;0,3371;3,8684;4;/A/NBP/2008;7.01.2008
8.01.2008;0,0735;2,4463;2,1511;0,3135;2,4445;1,8833;1,7091;3,6008;1,4151;2,1926;4,8456;0,4844;2,2318;0,1379;0,4834;0,2301;3,9530;0,4566;0,1078;0,3841;0,4901;1,0017;1,8410;2,1094;1,0428;5,1602;0,0600;0,2247;0,3553;1,3823;0,7482;0,1000;2,5894;0,2604;0,3367;3,8664;5;/A/NBP/2008;8.01.2008
9.01.2008;0,0737;2,4429;2,1578;0,3130;2,4337;1,8819;1,7074;3,5940;1,4125;2,1964;4,7971;0,4840;2,2367;0,1384;0,4825;0,2297;3,8818;0,4557;0,1079;0,3821;0,4891;0,9893;1,8376;2,1042;1,0409;5,1505;0,0602;0,2237;0,3570;1,3820;0,7457;0,0999;2,5875;0,2606;0,3363;3,8657;6;/A/NBP/2008;9.01.2008
10.01.2008;0,0738;2,4450;2,1647;0,3133;2,4252;1,8998;1,7071;3,5930;1,4129;2,2000;4,7974;0,4840;2,2262;0,1388;0,4824;0,2296;3,8751;0,4587;0,1080;0,3816;0,4890;0,9743;1,8371;2,1104;1,0406;5,1527;0,0600;0,2235;0,3567;1,3850;0,7455;0,1000;2,5918;0,2608;0,3364;3,8683;7;/A/NBP/2008;10.01.2008
