;1 THB;1 USD;1 AUD;1 HKD;1 CAD;1 NZD;1 SGD;1 EUR;100 HUF;1 CHF;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;100 ISK;1 NOK;1 SEK;1 HRK;1 RON;1 BGN;1 TRY;1 LTL;1 LVL;1 ILS;100 CLP;1 PHP;1 MXN;1 ZAR;1 BRL;1 MYR;1 RUB;10000 IDR;100 INR;100 KRW;1 CNY;1 XDR;;Nr tabeli;
data;bat (Tajlandia);dolar amerykański;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Węgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duńska;korona islandzka;korona norweska;korona szwedzka;kuna chorwacka;lej rumuński;lew bułgarski;lira turecka;lit litewski;łat łotewski;n. izraelski szekel;peso chilijskie;peso filipińskie;peso meksykańskie;rand (RPA);real brazylijski;ringgit malezyjski;rubel rosyjski;rupia (Indonezja);rupia indyjska;won (Korea Płd.);yuan renminbi(Chiny);SDR (MFW);;;
31.12.2010;0,0987;2,9641;3,0177;0,3813;2,9691;2,2966;2,3100;3,9603;1,4206;3,1639;4,5938;0,3722;3,6440;0,1580;0,5313;2,5750;0,5071;0,4415;0,5365;0,9238;2,0249;1,9227;1,1469;5,5830;;;0,0680;0,2393;0,4453;1,7861;0,9613;0,0970;3,3134;;0,2644;0,4497;4,5926;;255;/A/NBP/2010
3.01.2011;0,0992;2,9822;3,0406;0,3833;3,0008;2,3188;2,3190;3,9622;1,4212;3,1790;4,6075;0,3718;3,6590;0,1585;0,5317;2,5779;0,5088;0,4424;0,5367;0,9262;2,0259;1,9183;1,1475;5,5861;;;0,0681;0,2401;0,4488;1,7970;0,9732;0,0968;3,2943;;0,2651;0,4525;4,5948;;1;/A/NBP/2011
4.01.2011;0,0980;2,9415;2,9700;0,3788;2,9599;2,2592;2,2888;3,9433;1,4270;3,1235;4,5975;0,3701;3,5843;0,1583;0,5291;2,5673;0,5037;0,4399;0,5337;0,9240;2,0162;1,8990;1,1420;5,5586;;;0,0675;0,2407;0,4427;1,7864;0,9606;0,0964;3,2916;;0,2630;0,4456;4,5667;;2;/A/NBP/2011
5.01.2011;0,0977;2,9476;2,9541;0,3792;2,9490;2,2577;2,2860;3,9095;1,4116;3,0985;4,5945;0,3700;3,5928;0,1573;0,5246;2,5436;0,5003;0,4373;0,5284;0,9161;1,9989;1,9044;1,1323;5,5297;;;0,0673;0,2406;0,4379;1,7736;0,9608;0,0955;3,2688;;0,2619;0,4453;4,5046;;3;/A/NBP/2011
7.01.2011;0,0982;2,9818;2,9575;0,3835;2,9808;2,2582;2,2967;3,8730;1,3976;3,0948;4,6082;0,3707;3,5704;0,1570;0,5198;2,5356;0,5007;0,4341;0,5230;0,9096;1,9803;1,9096;1,1217;5,5269;;;0,0674;0,2437;0,4370;1,7677;0,9713;0,0962;3,3087;;0,2649;0,4498;4,5316;;4;/A/NBP/2011
10.01.2011;0,0985;3,0268;2,9972;0,3895;3,0371;2,2932;2,3271;3,9082;1,3988;3,1348;4,6934;0,3801;3,6379;0,1587;0,5246;2,5628;0,5066;0,4377;0,5281;0,9163;1,9983;1,9104;1,1319;5,5792;;;0,0681;0,2470;0,4419;1,7991;0,9825;0,0971;3,3403;;0,2688;0,4560;4,5983;;5;/A/NBP/2011
11.01.2011;0,0984;3,0065;2,9561;0,3865;3,0282;2,2757;2,3188;3,8858;1,3943;3,0981;4,6687;0,3768;3,6155;0,1585;0,5217;2,5364;0,5031;0,4368;0,5249;0,9125;1,9868;1,9025;1,1254;5,5452;;;0,0681;0,2459;0,4390;1,7812;0,9789;0,0981;3,3071;;0,2674;0,4541;4,5885;;6;/A/NBP/2011
12.01.2011;0,0971;2,9466;2,9233;0,3791;2,9848;2,2436;2,2844;3,8403;1,3914;3,0319;4,6130;0,3695;3,5478;0,1573;0,5155;2,4905;0,4973;0,4334;0,5190;0,9033;1,9635;1,8807;1,1122;5,4783;;;0,0670;0,2438;0,4309;1,7503;0,9620;0,0971;3,2676;;0,2642;0,4462;4,5284;;7;/A/NBP/2011
13.01.2011;0,0965;2,9353;2,9254;0,3775;2,9717;2,2512;2,2791;3,8613;1,4030;3,0159;4,6215;0,3681;3,5370;0,1582;0,5183;2,4992;0,4966;0,4344;0,5216;0,9072;1,9743;1,8808;1,1183;5,5106;;;0,0664;0,2430;0,4289;1,7545;0,9613;0,0975;3,2681;;0,2640;0,4443;4,5452;;8;/A/NBP/2011
14.01.2011;0,0954;2,9048;2,8799;0,3735;2,9222;2,2246;2,2509;3,8833;1,4077;3,0158;4,6005;0,3651;3,5065;0,1590;0,5213;2,4973;0,4948;0,4331;0,5249;0,9100;1,9855;1,8736;1,1247;5,5314;;;0,0656;0,2397;0,4228;1,7366;0,9495;0,0968;3,2120;;0,2601;0,4408;4,5219;;9;/A/NBP/2011
17.01.2011;0,0954;2,9181;2,8911;0,3751;2,9531;2,2462;2,2597;3,8692;1,4046;3,0167;4,6321;0,3669;3,5242;0,1588;0,5194;2,4926;0,4965;0,4337;0,5232;0,9086;1,9783;1,8769;1,1206;5,5133;;;0,0656;0,2426;0,4212;1,7304;0,9539;0,0971;3,1950;;0,2611;0,4424;4,4841;;10;/A/NBP/2011
